
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-257,KAN,,ATL,L 24-40,16,87,5.44,0,0,0,0,,0,0,0
2,2,2012-09-16,25-264,KAN,@,BUF,L 17-35,6,3,0.50,0,4,3,19,6.33,0,0,0
3,3,2012-09-23,25-271,KAN,@,NOR,W 27-24,33,233,7.06,1,8,6,55,9.17,0,1,6
4,4,2012-09-30,25-278,KAN,,SDG,L 20-37,17,88,5.18,1,4,3,23,7.67,1,2,12
5,5,2012-10-07,25-285,KAN,,BAL,L 6-9,31,140,4.52,0,3,2,21,10.50,0,0,0
6,6,2012-10-14,25-292,KAN,@,TAM,L 10-38,12,40,3.33,0,3,2,7,3.50,0,0,0
7,7,2012-10-28,25-306,KAN,,OAK,L 16-26,5,4,0.80,0,3,3,6,2.00,0,0,0
8,8,2012-11-01,25-310,KAN,@,SDG,L 13-31,12,39,3.25,0,4,3,27,9.00,0,0,0
9,9,2012-11-12,25-321,KAN,@,PIT,L 13-16,23,100,4.35,1,0,0,0,,0,1,6
10,10,2012-11-18,25-327,KAN,,CIN,L 6-28,17,87,5.12,0,6,4,31,7.75,0,0,0
11,11,2012-11-25,25-334,KAN,,DEN,L 9-17,23,107,4.65,0,0,0,0,,0,0,0
12,12,2012-12-02,25-341,KAN,,CAR,W 27-21,27,127,4.70,0,4,4,11,2.75,0,0,0
13,13,2012-12-09,25-348,KAN,@,CLE,L 7-30,18,165,9.17,1,1,0,0,,0,1,6
14,14,2012-12-16,25-355,KAN,@,OAK,L 0-15,9,10,1.11,0,4,3,18,6.00,0,0,0
15,15,2012-12-23,25-362,KAN,,IND,L 13-20,22,226,10.27,1,3,1,4,4.00,0,1,6
16,16,2012-12-30,26-003,KAN,@,DEN,L 3-38,14,53,3.79,0,2,1,14,14.00,0,0,0
,,16 Games,,,,,2-14-0,285,1509,5.29,5,49,35,236,6.74,1,6,36
