
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-254,KAN,,TEN,L 10-26,7,19,2.71,0,4,4,15,3.75,0,0,0,0.0,0,0
2,2,2014-09-14,27-261,KAN,@,DEN,L 17-24,2,4,2.00,0,1,1,8,8.00,0,0,0,0.0,1,0
3,4,2014-09-29,27-276,KAN,,NWE,W 41-14,18,92,5.11,1,3,3,16,5.33,2,3,18,0.0,0,0
4,5,2014-10-05,27-282,KAN,@,SFO,L 17-22,15,80,5.33,0,4,1,4,4.00,0,0,0,0.0,0,0
5,6,2014-10-19,27-296,KAN,@,SDG,W 23-20,22,95,4.32,1,4,2,12,6.00,0,1,6,0.0,0,0
6,7,2014-10-26,27-303,KAN,,STL,W 34-7,14,67,4.79,2,4,4,44,11.00,0,2,12,0.0,0,0
7,8,2014-11-02,27-310,KAN,,NYJ,W 24-10,20,78,3.90,1,4,2,10,5.00,0,1,6,0.0,0,0
8,9,2014-11-09,27-317,KAN,@,BUF,W 17-13,15,98,6.53,1,4,3,20,6.67,0,1,6,0.0,0,0
9,10,2014-11-16,27-324,KAN,,SEA,W 24-20,20,159,7.95,2,2,2,19,9.50,0,2,12,0.0,1,0
10,11,2014-11-20,27-328,KAN,@,OAK,L 20-24,19,80,4.21,0,7,4,42,10.50,1,1,6,0.0,0,0
11,12,2014-11-30,27-338,KAN,,DEN,L 16-29,10,35,3.50,0,6,4,24,6.00,1,1,6,0.0,0,0
12,13,2014-12-07,27-345,KAN,@,ARI,L 14-17,10,91,9.10,1,4,2,20,10.00,1,2,12,0.0,0,0
13,14,2014-12-14,27-352,KAN,,OAK,W 31-13,12,52,4.33,0,2,1,1,1.00,0,0,0,0.0,0,0
14,15,2014-12-21,27-359,KAN,@,PIT,L 12-20,9,29,3.22,0,7,5,48,9.60,0,0,0,0.0,0,0
15,16,2014-12-28,28-001,KAN,,SDG,W 19-7,13,54,4.15,0,3,2,8,4.00,0,0,0,0.0,0,0
,,15 Games,,,,,8-7-0,206,1033,5.01,9,59,40,291,7.28,5,14,84,0.0,2,0
