
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2014-09-07,22-337,KAN,,TEN,L 10-26,1,3,3.00,0,1,1,3,3.00,0,2,57,28.50,0,0,0
2,2,2014-09-14,22-344,KAN,@,DEN,L 17-24,22,79,3.59,2,9,6,26,4.33,0,0,0,,0,2,12
3,3,2014-09-21,22-351,KAN,@,MIA,W 34-15,32,132,4.13,1,1,0,0,,0,0,0,,0,1,6
4,4,2014-09-29,22-359,KAN,,NWE,W 41-14,16,107,6.69,0,2,1,12,12.00,0,2,36,18.00,0,0,0
5,5,2014-10-05,23-000,KAN,@,SFO,L 17-22,2,6,3.00,0,1,0,0,,0,5,119,23.80,0,0,0
6,6,2014-10-19,23-014,KAN,@,SDG,W 23-20,10,25,2.50,0,1,1,11,11.00,0,3,56,18.67,0,0,0
7,7,2014-10-26,23-021,KAN,,STL,W 34-7,16,49,3.06,1,1,0,0,,0,1,99,99.00,1,1,12
8,8,2014-11-02,23-028,KAN,,NYJ,W 24-10,3,9,3.00,0,0,0,0,,0,1,27,27.00,0,0,0
9,9,2014-11-09,23-035,KAN,@,BUF,W 17-13,4,1,0.25,0,1,1,5,5.00,0,0,0,,0,0,0
10,10,2014-11-16,23-042,KAN,,SEA,W 24-20,5,10,2.00,1,1,1,8,8.00,0,2,63,31.50,0,1,6
11,11,2014-11-20,23-046,KAN,@,OAK,L 20-24,2,2,1.00,0,1,0,0,,0,2,65,32.50,0,0,0
12,12,2014-11-30,23-056,KAN,,DEN,L 16-29,0,0,,0,,0,0,,0,3,89,29.67,0,0,0
13,13,2014-12-07,23-063,KAN,@,ARI,L 14-17,1,4,4.00,0,3,3,3,1.00,0,3,88,29.33,0,0,0
14,14,2014-12-14,23-070,KAN,,OAK,W 31-13,9,11,1.22,1,2,1,70,70.00,1,1,29,29.00,0,2,12
15,15,2014-12-21,23-077,KAN,@,PIT,L 12-20,2,2,1.00,0,1,1,9,9.00,0,2,46,23.00,0,0,0
16,16,2014-12-28,23-084,KAN,,SDG,W 19-7,9,23,2.56,0,0,0,0,,0,2,55,27.50,0,0,0
,,16 Games,,,,,9-7-0,134,463,3.46,6,25,16,147,9.19,1,29,829,28.59,1,7,48
