
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2012-09-09,24-277,KAN,,ATL,L 24-40,6,29,4.83,1,2,2,12,6.00,0,0,0,,0,1,6
2,2,2012-09-16,24-284,KAN,@,BUF,L 17-35,5,56,11.20,0,2,1,23,23.00,0,0,0,,0,0,0
3,3,2012-09-23,24-291,KAN,@,NOR,W 27-24,7,22,3.14,0,3,3,26,8.67,0,2,37,18.50,0,0,0
4,4,2012-09-30,24-298,KAN,,SDG,L 20-37,4,12,3.00,0,5,4,34,8.50,0,3,76,25.33,0,0,0
5,5,2012-10-07,24-305,KAN,,BAL,L 6-9,12,40,3.33,0,1,1,5,5.00,0,3,82,27.33,0,0,0
6,6,2012-10-14,24-312,KAN,@,TAM,L 10-38,11,11,1.00,0,4,3,12,4.00,0,0,0,,0,0,0
7,7,2012-10-28,24-326,KAN,,OAK,L 16-26,2,7,3.50,0,2,1,7,7.00,0,2,52,26.00,0,0,0
8,8,2012-11-01,24-330,KAN,@,SDG,L 13-31,1,6,6.00,1,2,2,21,10.50,0,4,83,20.75,0,1,6
9,9,2012-11-12,24-341,KAN,@,PIT,L 13-16,0,0,,0,0,0,0,,0,2,34,17.00,0,0,0
10,10,2012-11-18,24-347,KAN,,CIN,L 6-28,2,10,5.00,0,3,2,1,0.50,0,3,69,23.00,0,0,0
11,11,2012-11-25,24-354,KAN,,DEN,L 9-17,2,13,6.50,0,0,0,0,,0,2,53,26.50,0,0,0
12,12,2012-12-02,24-361,KAN,,CAR,W 27-21,0,0,,0,0,0,0,,0,1,31,31.00,0,0,0
13,13,2012-12-09,25-002,KAN,@,CLE,L 7-30,1,0,0.00,0,2,1,8,8.00,0,1,20,20.00,0,0,0
14,14,2012-12-16,25-009,KAN,@,OAK,L 0-15,0,0,,0,3,3,11,3.67,0,0,0,,0,0,0
15,15,2012-12-23,25-016,KAN,,IND,L 13-20,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0
16,16,2012-12-30,25-023,KAN,@,DEN,L 3-38,5,23,4.60,0,1,1,-2,-2.00,0,0,0,,0,0,0
,,16 Games,,,,,2-14-0,59,233,3.95,2,30,24,158,6.58,0,23,537,23.35,0,2,12
