
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,24-337,KAN,,TEN,L 10-26,5,3,49,16.33,0,0,0
2,2,2014-09-14,24-344,KAN,@,DEN,L 17-24,6,4,81,20.25,0,0,0
3,3,2014-09-21,24-351,KAN,@,MIA,W 34-15,4,3,36,12.00,1,1,6
4,4,2014-09-29,24-359,KAN,,NWE,W 41-14,9,8,93,11.63,1,1,6
5,5,2014-10-05,25-000,KAN,@,SFO,L 17-22,3,2,15,7.50,1,1,6
6,6,2014-10-19,25-014,KAN,@,SDG,W 23-20,4,4,33,8.25,0,0,0
7,7,2014-10-26,25-021,KAN,,STL,W 34-7,6,4,45,11.25,0,0,0
8,8,2014-11-02,25-028,KAN,,NYJ,W 24-10,5,4,67,16.75,1,1,6
9,9,2014-11-09,25-035,KAN,@,BUF,W 17-13,2,2,19,9.50,0,0,0
10,10,2014-11-16,25-042,KAN,,SEA,W 24-20,5,3,37,12.33,0,0,0
11,11,2014-11-20,25-046,KAN,@,OAK,L 20-24,5,4,67,16.75,0,0,0
12,12,2014-11-30,25-056,KAN,,DEN,L 16-29,3,3,36,12.00,0,0,0
13,13,2014-12-07,25-063,KAN,@,ARI,L 14-17,9,7,110,15.71,0,0,0
14,14,2014-12-14,25-070,KAN,,OAK,W 31-13,6,5,59,11.80,1,1,6
15,15,2014-12-21,25-077,KAN,@,PIT,L 12-20,7,4,31,7.75,0,0,0
16,16,2014-12-28,25-084,KAN,,SDG,W 19-7,8,7,84,12.00,0,0,6
,,16 Games,,,,,9-7-0,87,67,862,12.87,5,5,36
