
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2011-09-12,28-302,DEN,,OAK,L 20-23,*,24,46,52.17,304,1,1,71.3,6.61,6.07,1,13,13.00,0,0.0,1,0
2,2,2011-09-18,28-308,DEN,,CIN,W 24-22,*,15,25,60.00,195,2,0,111.2,7.80,9.40,1,-2,-2.00,0,0.0,0,0
3,3,2011-09-25,28-315,DEN,@,TEN,L 14-17,*,24,39,61.54,173,2,2,67.6,4.44,3.15,0,0,,0,0.0,0,0
4,4,2011-10-02,28-322,DEN,@,GNB,L 23-49,*,22,32,68.75,273,3,3,87.1,8.53,6.19,2,7,3.50,0,0.0,0,0
5,5,2011-10-09,28-329,DEN,,SDG,L 24-29,*,6,13,46.15,34,0,1,21.0,2.62,-0.85,1,-1,-1.00,0,0.0,0,0
6,12,2011-12-04,29-020,KAN,@,CHI,W 10-3,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0.0,0,0
7,14,2011-12-18,29-034,KAN,,GNB,W 19-14,*,23,31,74.19,299,0,0,104.1,9.65,9.65,4,-5,-1.25,0,0.0,0,0
8,15,2011-12-24,29-040,KAN,,OAK,L 13-16,*,21,36,58.33,300,1,2,71.5,8.33,6.39,1,2,2.00,0,0.0,0,0
9,16,2012-01-01,29-048,KAN,@,DEN,W 7-3,*,15,29,51.72,180,0,0,71.0,6.21,6.21,1,-1,-1.00,0,0.0,0,0
,,9 Games,,,,,4-5-0,,150,252,59.52,1758,9,9,77.8,6.98,6.08,11,13,1.18,0,0.0,1,0
