
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,5,2012-10-07,27-346,KAN,,BAL,L 6-9,,2,2,100.00,32,0,0,118.7,16.00,16.00,0,0,,0
2,6,2012-10-14,27-353,KAN,@,TAM,L 10-38,*,22,38,57.89,180,0,2,48.1,4.74,2.37,2,11,5.50,0
3,7,2012-10-28,28-001,KAN,,OAK,L 16-26,*,2,4,50.00,1,0,1,16.7,0.25,-11.00,2,18,9.00,0
4,10,2012-11-18,28-022,KAN,,CIN,L 6-28,,9,14,64.29,95,0,0,83.9,6.79,6.79,3,7,2.33,0
5,11,2012-11-25,28-029,KAN,,DEN,L 9-17,*,13,25,52.00,126,0,1,49.7,5.04,3.24,1,-1,-1.00,0
6,12,2012-12-02,28-036,KAN,,CAR,W 27-21,*,19,23,82.61,201,2,0,132.1,8.74,10.48,3,12,4.00,0
7,13,2012-12-09,28-043,KAN,@,CLE,L 7-30,*,10,21,47.62,159,0,1,53.5,7.57,5.43,1,4,4.00,0
8,14,2012-12-16,28-050,KAN,@,OAK,L 0-15,*,18,32,56.25,136,0,1,53.6,4.25,2.84,0,0,,0
9,15,2012-12-23,28-057,KAN,,IND,L 13-20,*,10,22,45.45,162,0,2,32.8,7.36,3.27,5,11,2.20,0
10,16,2012-12-30,28-064,KAN,@,DEN,L 3-38,*,7,16,43.75,49,0,0,51.3,3.06,3.06,2,4,2.00,0
,,10 Games,,,,,1-9-0,,112,197,56.85,1141,2,8,60.1,5.79,4.17,19,66,3.47,0
