
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,30-123,KAN,,TEN,L 10-26,*,19,35,54.29,202,1,3,45.2,5.77,2.49,6,36,6.00,0,0,0,0.0,0,0
2,2,2014-09-14,30-130,KAN,@,DEN,L 17-24,*,26,42,61.90,255,0,0,79.0,6.07,6.07,5,42,8.40,0,0,0,0.0,0,0
3,3,2014-09-21,30-137,KAN,@,MIA,W 34-15,*,19,25,76.00,186,3,0,136.0,7.44,9.84,2,17,8.50,0,0,0,0.0,0,0
4,4,2014-09-29,30-145,KAN,,NWE,W 41-14,*,20,26,76.92,248,3,0,144.4,9.54,11.85,4,8,2.00,0,0,0,0.0,0,0
5,5,2014-10-05,30-151,KAN,@,SFO,L 17-22,*,16,30,53.33,158,1,1,65.7,5.27,4.43,1,6,6.00,0,0,0,0.0,0,0
6,6,2014-10-19,30-165,KAN,@,SDG,W 23-20,*,19,28,67.86,221,1,0,103.4,7.89,8.61,6,29,4.83,0,0,0,0.0,0,0
7,7,2014-10-26,30-172,KAN,,STL,W 34-7,*,25,29,86.21,223,0,0,98.7,7.69,7.69,3,24,8.00,0,0,0,0.0,0,0
8,8,2014-11-02,30-179,KAN,,NYJ,W 24-10,*,21,31,67.74,199,2,0,106.8,6.42,7.71,0,0,,0,0,0,0.0,0,0
9,9,2014-11-09,30-186,KAN,@,BUF,W 17-13,*,17,29,58.62,177,0,0,76.4,6.10,6.10,4,25,6.25,1,1,6,0.0,0,0
10,10,2014-11-16,30-193,KAN,,SEA,W 24-20,*,11,16,68.75,108,0,0,87.5,6.75,6.75,2,-1,-0.50,0,0,0,0.0,0,0
11,11,2014-11-20,30-197,KAN,@,OAK,L 20-24,*,20,36,55.56,234,2,0,94.0,6.50,7.61,2,5,2.50,0,0,0,0.0,0,0
12,12,2014-11-30,30-207,KAN,,DEN,L 16-29,*,15,23,65.22,153,2,1,95.0,6.65,6.43,5,6,1.20,0,0,0,0.0,0,0
13,13,2014-12-07,30-214,KAN,@,ARI,L 14-17,*,26,39,66.67,293,1,1,86.8,7.51,6.87,4,26,6.50,0,0,0,0.0,1,0
14,14,2014-12-14,30-221,KAN,,OAK,W 31-13,*,18,30,60.00,297,2,0,115.6,9.90,11.23,3,17,5.67,0,0,0,0.0,1,0
15,15,2014-12-21,30-228,KAN,@,PIT,L 12-20,*,31,45,68.89,311,0,0,88.3,6.91,6.91,2,14,7.00,0,0,0,0.0,0,0
,,15 Games,,,,,8-7-0,,303,464,65.30,3265,18,6,93.4,7.04,7.23,49,254,5.18,1,1,6,0.0,2,0
