
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,28-227,SDG,,HOU,L 28-31,0,0,,0,3,2,16,8.00,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,28-233,SDG,@,PHI,W 33-30,9,27,3.00,0,9,8,37,4.63,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,28-240,SDG,@,TEN,L 17-20,5,31,6.20,0,9,7,55,7.86,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,28-247,SDG,,DAL,W 30-21,5,32,6.40,0,7,5,54,10.80,2,1,18,18.00,0,2,12,0.0,0,0
5,5,2013-10-06,28-254,SDG,@,OAK,L 17-27,9,17,1.89,0,9,9,58,6.44,1,2,46,23.00,0,1,6,0.0,1,0
6,6,2013-10-14,28-262,SDG,,IND,W 19-9,9,36,4.00,0,5,5,47,9.40,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-20,28-268,SDG,@,JAX,W 24-6,9,29,3.22,1,4,4,47,11.75,0,0,0,,0,1,6,0.0,0,0
8,8,2013-11-03,28-282,SDG,@,WAS,L 24-30,7,21,3.00,0,12,9,77,8.56,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-10,28-289,SDG,,DEN,L 20-28,6,27,4.50,0,5,4,17,4.25,1,0,0,,0,1,6,0.0,0,0
10,10,2013-11-17,28-296,SDG,@,MIA,L 16-20,5,21,4.20,0,2,2,16,8.00,0,2,43,21.50,0,0,0,0.0,1,0
11,11,2013-11-24,28-303,SDG,@,KAN,W 41-38,6,25,4.17,1,4,4,45,11.25,1,5,137,27.40,0,2,12,0.0,0,0
12,12,2013-12-01,28-310,SDG,,CIN,L 10-17,7,22,3.14,0,3,2,13,6.50,0,1,16,16.00,0,0,0,0.0,0,0
13,13,2013-12-08,28-317,SDG,,NYG,W 37-14,7,42,6.00,0,5,4,52,13.00,1,0,0,,0,1,6,0.0,0,0
14,14,2013-12-12,28-321,SDG,@,DEN,W 27-20,9,29,3.22,0,1,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,28-331,SDG,,OAK,W 26-13,8,52,6.50,0,3,3,16,5.33,0,1,2,2.00,0,0,0,0.0,0,0
16,16,2013-12-29,28-338,SDG,,KAN,W 27-24,5,18,3.60,0,7,7,42,6.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,9-7-0,106,429,4.05,2,88,76,605,7.96,6,12,262,21.83,0,8,48,0.0,2,0
