
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,27-191,MIA,@,HOU,L 10-30,14,69,4.93,0,6,6,46,7.67,0,0,0
2,2,2012-09-16,27-198,MIA,,OAK,W 35-13,26,172,6.62,2,4,3,25,8.33,0,2,12
3,3,2012-09-23,27-205,MIA,,NYJ,L 20-23,10,61,6.10,0,1,1,1,1.00,0,0,0
4,4,2012-09-30,27-212,MIA,@,ARI,L 21-24,17,67,3.94,0,1,0,0,,0,0,0
5,5,2012-10-07,27-219,MIA,@,CIN,W 17-13,19,48,2.53,1,2,2,24,12.00,0,1,6
6,6,2012-10-14,27-226,MIA,,STL,W 17-14,12,17,1.42,0,7,5,44,8.80,0,0,0
7,7,2012-10-28,27-240,MIA,@,NYJ,W 30-9,14,59,4.21,0,1,1,6,6.00,0,0,0
8,8,2012-11-04,27-247,MIA,@,IND,L 20-23,10,41,4.10,1,3,2,25,12.50,0,1,6
9,9,2012-11-11,27-254,MIA,,TEN,L 3-37,4,21,5.25,0,2,1,8,8.00,0,0,0
10,10,2012-11-15,27-258,MIA,@,BUF,L 14-19,10,20,2.00,0,3,2,15,7.50,0,0,0
11,11,2012-11-25,27-268,MIA,,SEA,W 24-21,14,87,6.21,1,3,1,-5,-5.00,0,1,6
12,12,2012-12-02,27-275,MIA,,NWE,L 16-23,15,64,4.27,0,1,0,0,,0,0,0
13,13,2012-12-09,27-282,MIA,@,SFO,L 13-27,14,65,4.64,0,7,5,38,7.60,0,0,0
14,14,2012-12-16,27-289,MIA,,JAX,W 24-3,21,104,4.95,0,2,0,0,,0,0,0
15,15,2012-12-23,27-296,MIA,,BUF,W 24-10,19,65,3.42,1,4,4,42,10.50,2,3,18
16,16,2012-12-30,27-303,MIA,@,NWE,L 0-28,8,26,3.25,0,5,2,23,11.50,0,0,0
,,16 Games,,,,,7-9-0,227,986,4.34,6,52,35,292,8.34,2,8,48
