
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,24-207,MIA,@,CLE,W 23-10,6,5,54,10.80,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,24-214,MIA,@,IND,W 24-20,7,5,109,21.80,0,1,1,1.00,1,0,0,,0,1,6,0.0,0,0
3,3,2013-09-22,24-221,MIA,,ATL,W 27-23,6,4,40,10.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-30,24-229,MIA,@,NOR,L 17-38,6,6,42,7.00,1,0,0,,0,0,0,,0,1,6,0.0,1,0
5,5,2013-10-06,24-235,MIA,,BAL,L 23-26,6,3,52,17.33,1,0,0,,0,0,0,,0,1,6,0.0,0,0
6,6,2013-10-20,24-249,MIA,,BUF,L 21-23,3,1,7,7.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
7,7,2013-10-27,24-256,MIA,@,NWE,L 17-27,8,5,37,7.40,0,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
8,8,2013-10-31,24-260,MIA,,CIN,W 22-20,3,3,22,7.33,0,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-11,24-271,MIA,@,TAM,L 19-22,8,4,21,5.25,0,2,0,0.00,0,0,0,,0,0,0,0.0,0,1
10,10,2013-11-17,24-277,MIA,,SDG,W 20-16,7,6,90,15.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
11,11,2013-11-24,24-284,MIA,,CAR,L 16-20,7,4,27,6.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,24-291,MIA,@,NYJ,W 23-3,10,7,80,11.43,0,1,0,0.00,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,24-298,MIA,@,PIT,W 34-28,10,7,97,13.86,2,0,0,,0,0,0,,0,2,12,0.0,0,0
14,14,2013-12-15,24-305,MIA,,NWE,W 24-20,2,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,24-312,MIA,@,BUF,L 0-19,7,4,32,8.00,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0
16,16,2013-12-29,24-319,MIA,,NYJ,L 7-20,6,4,43,10.75,0,1,0,0.00,0,1,15,15.00,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,102,69,759,11.00,6,7,15,2.14,1,2,23,11.50,0,7,42,0.0,1,1
