
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,27-145,MIA,,NWE,L 24-38,6,5,82,16.40,0,0,0,0.0,0,0
2,2,2011-09-18,27-151,MIA,,HOU,L 13-23,2,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,27-158,MIA,@,CLE,L 16-17,2,1,26,26.00,0,0,0,0.0,0,0
4,4,2011-10-02,27-165,MIA,@,SDG,L 16-26,4,1,9,9.00,0,0,0,0.0,1,0
5,5,2011-10-17,27-180,MIA,@,NYJ,L 6-24,2,1,13,13.00,0,0,0,0.0,0,0
6,6,2011-10-23,27-186,MIA,,DEN,L 15-18,2,2,22,11.00,1,1,6,0.0,0,0
7,7,2011-10-30,27-193,MIA,@,NYG,L 17-20,1,0,0,,0,0,0,0.0,1,0
8,8,2011-11-06,27-200,MIA,@,KAN,W 31-3,3,2,38,19.00,2,2,12,0.0,0,0
9,9,2011-11-13,27-207,MIA,,WAS,W 20-9,4,3,60,20.00,0,0,0,0.0,0,0
10,10,2011-11-20,27-214,MIA,,BUF,W 35-8,2,2,8,4.00,1,1,6,0.0,0,0
11,11,2011-11-24,27-218,MIA,@,DAL,L 19-20,2,2,32,16.00,0,0,0,0.0,0,0
12,12,2011-12-04,27-228,MIA,,OAK,W 34-14,6,4,66,16.50,0,0,0,0.0,0,0
13,13,2011-12-11,27-235,MIA,,PHI,L 10-26,8,3,56,18.67,0,0,0,0.0,1,0
14,14,2011-12-18,27-242,MIA,@,BUF,W 30-23,4,2,28,14.00,1,1,6,0.0,0,0
15,16,2012-01-01,27-256,MIA,,NYJ,W 19-17,6,4,11,2.75,0,0,0,0.0,0,0
,,15 Games,,,,,6-9-0,54,32,451,14.09,5,5,30,0.0,3,0
