
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-09,28-142,MIA,@,HOU,L 10-30,5,3,19,6.33,0,,0,0
2,2,2012-09-16,28-149,MIA,,OAK,W 35-13,3,2,19,9.50,1,,1,6
3,3,2012-09-23,28-156,MIA,,NYJ,L 20-23,10,5,47,9.40,0,,0,0
4,4,2012-09-30,28-163,MIA,@,ARI,L 21-24,5,5,30,6.00,0,,0,0
5,5,2012-10-07,28-170,MIA,@,CIN,W 17-13,4,3,28,9.33,0,,0,0
6,6,2012-10-14,28-177,MIA,,STL,W 17-14,6,4,33,8.25,1,,1,6
7,7,2012-10-28,28-191,MIA,@,NYJ,W 30-9,2,1,4,4.00,1,,1,6
8,8,2012-11-04,28-198,MIA,@,IND,L 20-23,4,1,8,8.00,0,,0,0
9,9,2012-11-11,28-205,MIA,,TEN,L 3-37,3,1,4,4.00,0,,0,0
10,10,2012-11-15,28-209,MIA,@,BUF,L 14-19,2,1,8,8.00,0,,0,0
11,11,2012-11-25,28-219,MIA,,SEA,W 24-21,1,1,10,10.00,0,,0,0
12,12,2012-12-02,28-226,MIA,,NWE,L 16-23,3,1,14,14.00,0,,0,0
13,13,2012-12-09,28-233,MIA,@,SFO,L 13-27,4,2,9,4.50,1,,1,6
14,14,2012-12-16,28-240,MIA,,JAX,W 24-3,7,6,56,9.33,1,1,1,8
15,15,2012-12-23,28-247,MIA,,BUF,W 24-10,4,2,12,6.00,0,,0,0
16,16,2012-12-30,28-254,MIA,@,NWE,L 0-28,6,3,31,10.33,0,,0,0
,,16 Games,,,,,7-9-0,69,41,332,8.10,5,1,5,32
