
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,21-283,MIA,,NWE,W 33-20,1,0,0,,0,0,0,,0,2,56,28.00,0,3,24,8.00,0,0,0,0.0,0,0
2,2,2014-09-14,21-290,MIA,@,BUF,L 10-29,6,5,49,9.80,0,0,0,,0,3,57,19.00,0,2,7,3.50,0,0,0,0.0,1,0
3,3,2014-09-21,21-297,MIA,,KAN,L 15-34,7,3,24,8.00,0,0,0,,0,5,174,34.80,0,3,11,3.67,0,0,0,0.0,0,0
4,4,2014-09-28,21-304,MIA,@,OAK,W 38-14,4,4,38,9.50,0,0,0,,0,1,35,35.00,0,1,9,9.00,0,0,0,0.0,0,0
5,5,2014-10-12,21-318,MIA,,GNB,L 24-27,8,6,75,12.50,1,0,0,,0,2,91,45.50,0,0,0,,0,1,6,0.0,1,0
6,6,2014-10-19,21-325,MIA,@,CHI,W 27-14,5,4,46,11.50,0,0,0,,0,2,55,27.50,0,2,22,11.00,0,0,0,0.0,0,0
7,7,2014-10-26,21-332,MIA,@,JAX,W 27-13,3,3,23,7.67,0,1,4,4.00,0,1,32,32.00,0,2,10,5.00,0,0,0,0.0,0,0
8,8,2014-11-02,21-339,MIA,,SDG,W 37-0,6,5,46,9.20,1,0,0,,0,1,31,31.00,0,4,55,13.75,0,1,6,0.0,0,0
9,9,2014-11-09,21-346,MIA,@,DET,L 16-20,10,7,53,7.57,0,1,-8,-8.00,0,2,77,38.50,0,1,5,5.00,0,0,0,0.0,1,0
10,10,2014-11-13,21-350,MIA,,BUF,W 22-9,5,5,46,9.20,1,0,0,,0,2,47,23.50,0,0,0,,0,1,6,0.0,0,0
11,11,2014-11-23,21-360,MIA,@,DEN,L 36-39,11,7,50,7.14,2,0,0,,0,1,20,20.00,0,1,17,17.00,0,2,12,0.0,0,0
12,12,2014-12-01,22-003,MIA,@,NYJ,W 16-13,11,8,68,8.50,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,22-009,MIA,,BAL,L 13-28,6,6,55,9.17,0,0,0,,0,2,61,30.50,0,3,12,4.00,0,0,0,0.0,0,0
14,14,2014-12-14,22-016,MIA,@,NWE,L 13-41,11,8,99,12.38,0,0,0,,0,1,26,26.00,0,1,32,32.00,0,0,0,0.0,0,0
15,15,2014-12-21,22-023,MIA,,MIN,W 37-35,9,8,31,3.88,0,0,0,,0,3,45,15.00,0,2,0,0.00,0,0,0,0.0,0,0
16,16,2014-12-28,22-030,MIA,,NYJ,L 24-37,9,5,55,11.00,0,0,0,,0,4,107,26.75,0,0,0,,0,0,0,0.0,1,0
,,16 Games,,,,,8-8-0,112,84,758,9.02,5,2,-4,-2.00,0,34,954,28.06,0,25,204,8.16,0,5,30,0.0,4,0
