
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,27-173,MIA,,NWE,L 24-38,13,7,139,19.86,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,27-179,MIA,,HOU,L 13-23,11,6,79,13.17,1,0,0,,0,1,6,0.0,0,0
3,3,2011-09-25,27-186,MIA,@,CLE,L 16-17,7,4,43,10.75,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,27-193,MIA,@,SDG,L 16-26,8,5,52,10.40,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-17,27-208,MIA,@,NYJ,L 6-24,13,6,109,18.17,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-23,27-214,MIA,,DEN,L 15-18,9,6,61,10.17,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-30,27-221,MIA,@,NYG,L 17-20,6,4,55,13.75,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,27-228,MIA,@,KAN,W 31-3,11,8,106,13.25,1,0,0,,0,1,6,0.0,0,0
9,9,2011-11-13,27-235,MIA,,WAS,W 20-9,9,7,98,14.00,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,27-242,MIA,,BUF,W 35-8,3,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-24,27-246,MIA,@,DAL,L 19-20,10,5,103,20.60,1,0,0,,0,1,6,0.0,0,0
12,12,2011-12-04,27-256,MIA,,OAK,W 34-14,6,4,60,15.00,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,27-263,MIA,,PHI,L 10-26,8,4,27,6.75,1,0,0,,0,1,6,0.0,0,0
14,14,2011-12-18,27-270,MIA,@,BUF,W 30-23,8,3,84,28.00,1,0,0,,0,1,6,0.0,1,0
15,15,2011-12-24,27-276,MIA,@,NWE,L 24-27,11,6,143,23.83,1,1,13,13.00,0,1,6,0.0,0,0
16,16,2012-01-01,27-284,MIA,,NYJ,W 19-17,8,5,50,10.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,6-10-0,141,81,1214,14.99,6,1,13,13.00,0,6,36,0.0,1,0
