
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-316,MIA,@,HOU,L 10-30,3,11,3.67,0,3,1,32,32.00,0,0,0
2,3,2012-09-23,24-330,MIA,,NYJ,L 20-23,19,69,3.63,1,2,1,11,11.00,0,1,6
3,4,2012-09-30,24-337,MIA,@,ARI,L 21-24,4,4,1.00,0,1,1,6,6.00,0,0,0
4,5,2012-10-07,24-344,MIA,@,CIN,W 17-13,10,29,2.90,1,1,1,8,8.00,0,1,6
5,7,2012-10-28,24-365,MIA,@,NYJ,W 30-9,15,42,2.80,1,2,1,3,3.00,0,1,6
6,8,2012-11-04,25-006,MIA,@,IND,L 20-23,6,37,6.17,0,4,2,25,12.50,0,0,0
7,9,2012-11-11,25-013,MIA,,TEN,L 3-37,5,21,4.20,0,6,5,34,6.80,0,0,0
8,10,2012-11-15,25-017,MIA,@,BUF,L 14-19,12,33,2.75,0,0,0,0,,0,0,0
9,11,2012-11-25,25-027,MIA,,SEA,W 24-21,9,60,6.67,1,1,1,18,18.00,0,1,6
10,12,2012-12-02,25-034,MIA,,NWE,L 16-23,5,10,2.00,0,2,2,19,9.50,0,0,0
11,13,2012-12-09,25-041,MIA,@,SFO,L 13-27,2,3,1.50,0,0,0,0,,0,0,0
12,14,2012-12-16,25-048,MIA,,JAX,W 24-3,1,6,6.00,0,0,0,0,,0,0,0
,,12 Games,,,,,4-8-0,91,325,3.57,4,22,15,156,10.40,0,4,24
