
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-314,MIA,@,CLE,W 23-10,8,14,1.75,1,1,1,5,5.00,0,1,6,0.0,0,0
2,2,2013-09-15,25-321,MIA,@,IND,W 24-20,8,30,3.75,0,1,1,10,10.00,0,0,0,0.0,0,0
3,3,2013-09-22,25-328,MIA,,ATL,W 27-23,5,21,4.20,1,1,1,16,16.00,0,1,6,0.0,0,0
4,4,2013-09-30,25-336,MIA,@,NOR,L 17-38,4,5,1.25,0,1,1,1,1.00,0,0,0,0.0,0,0
5,5,2013-10-06,25-342,MIA,,BAL,L 23-26,2,1,0.50,0,2,2,11,5.50,0,0,0,0.0,0,0
6,6,2013-10-20,25-356,MIA,,BUF,L 21-23,12,60,5.00,0,1,1,-2,-2.00,0,0,0,0.0,0,0
7,7,2013-10-27,25-363,MIA,@,NWE,L 17-27,9,47,5.22,0,1,1,5,5.00,1,1,6,0.0,1,0
8,8,2013-10-31,26-002,MIA,,CIN,W 22-20,12,38,3.17,0,2,1,4,4.00,0,0,0,0.0,0,0
9,9,2013-11-11,26-013,MIA,@,TAM,L 19-22,4,-2,-0.50,0,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,26-019,MIA,,SDG,W 20-16,10,57,5.70,1,1,1,2,2.00,0,1,6,0.0,1,0
11,11,2013-11-24,26-026,MIA,,CAR,L 16-20,3,8,2.67,0,2,2,2,1.00,0,0,0,0.0,0,0
12,13,2013-12-08,26-040,MIA,@,PIT,W 34-28,16,105,6.56,1,1,1,4,4.00,0,1,6,0.0,0,0
13,14,2013-12-15,26-047,MIA,,NWE,W 24-20,5,16,3.20,0,1,1,2,2.00,1,1,6,0.0,0,0
14,15,2013-12-22,26-054,MIA,@,BUF,L 0-19,9,6,0.67,0,2,1,3,3.00,0,0,0,0.0,0,0
15,16,2013-12-29,26-061,MIA,,NYJ,L 7-20,2,0,0.00,0,0,0,0,,0,0,0,0.0,0,0
,,15 Games,,,,,7-8-0,109,406,3.72,4,17,15,63,4.20,2,6,36,0.0,2,0
