
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-038,MIA,@,CLE,W 23-10,5,1,15,15.00,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,27-045,MIA,@,IND,W 24-20,11,9,115,12.78,1,0,0,,0,1,6,0.0,0,0
3,3,2013-09-22,27-052,MIA,,ATL,W 27-23,5,2,22,11.00,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-30,27-060,MIA,@,NOR,L 17-38,7,3,24,8.00,0,0,0,,0,0,0,0.0,1,0
5,5,2013-10-06,27-066,MIA,,BAL,L 23-26,16,7,105,15.00,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-20,27-080,MIA,,BUF,L 21-23,10,5,76,15.20,0,1,12,12.00,0,0,0,0.0,0,0
7,7,2013-10-27,27-087,MIA,@,NWE,L 17-27,10,3,41,13.67,0,1,8,8.00,0,0,0,0.0,0,0
8,8,2013-10-31,27-091,MIA,,CIN,W 22-20,8,6,82,13.67,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-11,27-102,MIA,@,TAM,L 19-22,7,4,15,3.75,0,0,0,,0,0,0,0.0,1,0
10,10,2013-11-17,27-108,MIA,,SDG,W 20-16,6,4,39,9.75,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,27-115,MIA,,CAR,L 16-20,10,5,127,25.40,1,0,0,,0,1,6,0.0,0,0
12,12,2013-12-01,27-122,MIA,@,NYJ,W 23-3,9,7,82,11.71,1,0,0,,0,1,6,0.0,1,0
13,13,2013-12-08,27-129,MIA,@,PIT,W 34-28,5,2,19,9.50,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,27-136,MIA,,NWE,W 24-20,9,6,105,17.50,1,1,13,13.00,0,1,6,0.0,0,0
15,15,2013-12-22,27-143,MIA,@,BUF,L 0-19,11,4,38,9.50,0,0,0,,0,0,0,0.0,1,0
16,16,2013-12-29,27-150,MIA,,NYJ,L 7-20,12,5,25,5.00,1,0,0,,0,1,6,0.0,1,0
,,16 Games,,,,,8-8-0,141,73,930,12.74,5,3,33,11.00,0,5,30,0.0,5,0
