
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,28-037,MIA,,NWE,W 33-20,11,7,81,11.57,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
2,2,2014-09-14,28-044,MIA,@,BUF,L 10-29,8,5,56,11.20,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
3,3,2014-09-21,28-051,MIA,,KAN,L 15-34,12,5,74,14.80,0,1,12,12.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,4,2014-09-28,28-058,MIA,@,OAK,W 38-14,4,3,35,11.67,1,1,0,0.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
5,5,2014-10-12,28-072,MIA,,GNB,L 24-27,9,5,67,13.40,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
6,6,2014-10-19,28-079,MIA,@,CHI,W 27-14,8,5,46,9.20,1,1,4,4.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
7,7,2014-10-26,28-086,MIA,@,JAX,W 27-13,7,2,59,29.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
8,8,2014-11-02,28-093,MIA,,SDG,W 37-0,8,3,50,16.67,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,0.0,0,0
9,9,2014-11-09,28-100,MIA,@,DET,L 16-20,8,5,51,10.20,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
10,10,2014-11-13,28-104,MIA,,BUF,W 22-9,7,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
11,11,2014-11-23,28-114,MIA,@,DEN,L 36-39,5,4,35,8.75,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
12,12,2014-12-01,28-122,MIA,@,NYJ,W 16-13,11,6,69,11.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
13,13,2014-12-07,28-128,MIA,,BAL,L 13-28,4,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
14,14,2014-12-14,28-135,MIA,@,NWE,L 13-41,7,5,104,20.80,1,1,0,0.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
15,15,2014-12-21,28-142,MIA,,MIN,W 37-35,5,5,58,11.60,2,0,0,,0,0,0,,0,0,0,,,,2,12,0.0,0,0
16,16,2014-12-28,28-149,MIA,,NYJ,L 24-37,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,115,67,862,12.87,10,4,16,4.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,10,60,0.0,1,0
