
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-167,MIN,@,SDG,L 17-24,2,16,8.00,0,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,24-174,MIN,,TAM,L 20-24,2,36,18.00,0,1,1,42,42.00,0,0,0,0.0,0,0
3,3,2011-09-25,24-181,MIN,,DET,L 23-26,2,2,1.00,0,2,1,5,5.00,0,0,0,0.0,0,0
4,4,2011-10-02,24-188,MIN,@,KAN,L 17-22,2,4,2.00,0,1,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,24-195,MIN,,ARI,W 34-10,2,9,4.50,0,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,24-202,MIN,@,CHI,L 10-39,1,3,3.00,0,2,2,7,3.50,0,0,0,0.0,0,0
7,7,2011-10-23,24-209,MIN,,GNB,L 27-33,1,4,4.00,0,0,0,0,,0,0,0,0.0,0,0
8,8,2011-10-30,24-216,MIN,@,CAR,W 24-21,5,26,5.20,0,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-14,24-231,MIN,@,GNB,L 7-45,,,,,,,,,,,,,,
10,10,2011-11-20,24-237,MIN,,OAK,L 21-27,7,18,2.57,0,1,1,7,7.00,0,0,0,0.0,0,0
11,11,2011-11-27,24-244,MIN,@,ATL,L 14-24,17,44,2.59,1,3,2,19,9.50,0,1,6,0.0,0,0
12,12,2011-12-04,24-251,MIN,,DEN,L 32-35,21,91,4.33,0,8,8,42,5.25,0,0,0,0.0,0,0
13,13,2011-12-11,24-258,MIN,@,DET,L 28-34,19,90,4.74,0,3,3,19,6.33,1,1,6,0.0,1,0
14,14,2011-12-18,24-265,MIN,,NOR,L 20-42,2,12,6.00,0,4,4,46,11.50,2,2,12,0.0,0,0
15,15,2011-12-24,24-271,MIN,@,WAS,W 33-26,11,109,9.91,0,1,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,24-279,MIN,,CHI,L 13-17,15,67,4.47,0,2,1,3,3.00,0,0,0,0.0,0,0
,,16 Games,,,,,3-13-0,109,531,4.87,1,28,23,190,8.26,3,4,24,0.0,1,0
