
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2012-09-09,24-104,MIN,,JAX,W 26-23,8,6,84,14.00,0,5,20,4.00,0,3,88,29.33,0,0,0
2,2,2012-09-16,24-111,MIN,@,IND,L 20-23,13,12,104,8.67,0,2,13,6.50,0,2,78,39.00,0,0,0
3,3,2012-09-23,24-118,MIN,,SFO,W 24-13,11,9,89,9.89,0,1,9,9.00,0,3,74,24.67,0,0,0
4,4,2012-09-30,24-125,MIN,@,DET,W 20-13,6,3,22,7.33,0,3,12,4.00,0,1,105,105.00,1,0,6
5,5,2012-10-07,24-132,MIN,,TEN,W 30-7,10,8,108,13.50,1,2,8,4.00,1,0,0,,0,2,12
6,6,2012-10-14,24-139,MIN,@,WAS,L 26-38,14,11,133,12.09,0,2,1,0.50,0,3,100,33.33,0,0,0
7,7,2012-10-21,24-146,MIN,,ARI,W 21-14,5,4,37,9.25,1,2,10,5.00,0,2,47,23.50,0,1,6
8,8,2012-10-25,24-150,MIN,,TAM,L 17-36,12,7,90,12.86,1,1,-1,-1.00,0,1,43,43.00,0,1,6
9,9,2012-11-04,24-160,MIN,@,SEA,L 20-30,6,2,10,5.00,0,4,24,6.00,0,1,39,39.00,0,0,0
,,9 Games,,,,,5-4-0,85,62,677,10.92,3,22,96,4.36,1,16,574,35.88,1,4,30
