
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,29-352,MIN,@,DET,L 24-34,7,3,33,11.00,0,0,0,0.0,1,0
2,2,2013-09-15,29-359,MIN,@,CHI,L 30-31,6,5,84,16.80,0,0,0,0.0,0,0
3,3,2013-09-22,30-001,MIN,,CLE,L 27-31,6,3,43,14.33,0,0,0,0.0,0,0
4,4,2013-09-29,30-008,MIN,,PIT,W 34-27,4,3,92,30.67,2,2,12,0.0,0,0
5,5,2013-10-13,30-022,MIN,,CAR,L 10-35,10,6,34,5.67,0,0,0,0.0,0,0
6,6,2013-10-21,30-030,MIN,@,NYG,L 7-23,10,4,41,10.25,0,0,0,0.0,1,0
7,7,2013-10-27,30-036,MIN,,GNB,L 31-44,3,1,9,9.00,0,0,0,0.0,0,0
8,8,2013-11-03,30-043,MIN,@,DAL,L 23-27,9,6,56,9.33,0,0,0,0.0,1,0
9,9,2013-11-07,30-047,MIN,,WAS,W 34-27,4,3,18,6.00,0,0,0,0.0,0,0
10,11,2013-11-24,30-064,MIN,@,GNB,T 26-26,3,2,29,14.50,0,0,0,0.0,0,0
11,12,2013-12-01,30-071,MIN,,CHI,W 23-20,9,7,78,11.14,1,1,6,0.0,0,0
12,13,2013-12-08,30-078,MIN,@,BAL,L 26-29,10,5,53,10.60,0,0,0,0.0,0,0
13,14,2013-12-15,30-085,MIN,,PHI,W 48-30,13,11,163,14.82,1,1,6,0.0,0,0
14,15,2013-12-22,30-092,MIN,@,CIN,L 14-42,6,4,27,6.75,0,0,0,0.0,0,0
15,16,2013-12-29,30-099,MIN,,DET,W 14-13,6,5,44,8.80,0,0,0,0.0,0,0
,,15 Games,,,,,5-9-1,106,68,804,11.82,4,4,24,0.0,3,0
