
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-09,27-172,MIN,,JAX,W 26-23,17,84,4.94,2,1,1,3,3.00,0,,2,12
2,2,2012-09-16,27-179,MIN,@,IND,L 20-23,16,60,3.75,0,3,3,20,6.67,0,,0,0
3,3,2012-09-23,27-186,MIN,,SFO,W 24-13,25,86,3.44,0,4,2,21,10.50,0,,0,0
4,4,2012-09-30,27-193,MIN,@,DET,W 20-13,21,102,4.86,0,4,4,20,5.00,0,,0,0
5,5,2012-10-07,27-200,MIN,,TEN,W 30-7,17,88,5.18,0,3,3,15,5.00,0,,0,0
6,6,2012-10-14,27-207,MIN,@,WAS,L 26-38,17,79,4.65,0,8,7,50,7.14,0,,0,0
7,7,2012-10-21,27-214,MIN,,ARI,W 21-14,23,153,6.65,1,4,2,6,3.00,0,,1,6
8,8,2012-10-25,27-218,MIN,,TAM,L 17-36,15,123,8.20,1,1,1,4,4.00,0,,1,6
9,9,2012-11-04,27-228,MIN,@,SEA,L 20-30,17,182,10.71,2,4,3,11,3.67,0,,2,12
10,10,2012-11-11,27-235,MIN,,DET,W 34-24,27,171,6.33,1,4,3,5,1.67,0,1,1,8
11,11,2012-11-25,27-249,MIN,@,CHI,L 10-28,18,108,6.00,0,7,6,30,5.00,0,,0,0
12,12,2012-12-02,27-256,MIN,@,GNB,L 14-23,21,210,10.00,1,2,1,10,10.00,0,,1,6
13,13,2012-12-09,27-263,MIN,,CHI,W 21-14,31,154,4.97,2,2,2,16,8.00,0,,2,12
14,14,2012-12-16,27-270,MIN,@,STL,W 36-22,24,212,8.83,1,0,0,0,,0,,1,6
15,15,2012-12-23,27-277,MIN,@,HOU,W 23-6,25,86,3.44,0,2,1,4,4.00,0,,0,0
16,16,2012-12-30,27-284,MIN,,GNB,W 37-34,34,199,5.85,1,2,1,2,2.00,1,,2,12
,,16 Games,,,,,10-6-0,348,2097,6.03,12,51,40,217,5.43,1,1,13,80
