
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-171,MIN,@,DET,L 24-34,18,93,5.17,2,4,4,18,4.50,1,3,18,0.0,1,0
2,2,2013-09-15,28-178,MIN,@,CHI,L 30-31,26,100,3.85,0,2,1,7,7.00,0,0,0,0.0,0,0
3,3,2013-09-22,28-185,MIN,,CLE,L 27-31,25,88,3.52,1,6,6,27,4.50,0,1,6,0.0,1,0
4,4,2013-09-29,28-192,MIN,,PIT,W 34-27,23,140,6.09,2,1,0,0,,0,2,12,0.0,0,0
5,5,2013-10-13,28-206,MIN,,CAR,L 10-35,10,62,6.20,0,4,3,21,7.00,0,0,0,0.0,0,0
6,6,2013-10-21,28-214,MIN,@,NYG,L 7-23,13,28,2.15,0,4,2,28,14.00,0,0,0,0.0,0,0
7,7,2013-10-27,28-220,MIN,,GNB,L 31-44,13,60,4.62,1,3,3,23,7.67,0,1,6,0.0,0,0
8,8,2013-11-03,28-227,MIN,@,DAL,L 23-27,25,140,5.60,1,3,3,37,12.33,0,1,6,0.0,0,0
9,9,2013-11-07,28-231,MIN,,WAS,W 34-27,20,75,3.75,2,2,2,2,1.00,0,2,12,0.0,0,0
10,10,2013-11-17,28-241,MIN,@,SEA,L 20-41,21,65,3.10,0,3,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,28-248,MIN,@,GNB,T 26-26,32,146,4.56,1,1,1,2,2.00,0,1,6,0.0,0,0
12,12,2013-12-01,28-255,MIN,,CHI,W 23-20,35,211,6.03,0,4,2,0,0.00,0,0,0,0.0,0,0
13,13,2013-12-08,28-262,MIN,@,BAL,L 26-29,7,13,1.86,0,2,1,4,4.00,0,0,0,0.0,0,0
14,15,2013-12-22,28-276,MIN,@,CIN,L 14-42,11,45,4.09,0,1,1,2,2.00,0,0,0,0.0,0,0
,,14 Games,,,,,3-10-1,279,1266,4.54,10,40,29,171,5.90,1,11,66,0.0,2,0
