
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,6,2011-10-16,23-233,MIN,@,CHI,L 10-39,,9,17,52.94,99,0,0,70.5,5.82,5.82,1,8,8.00,0,0.0,0,0
2,7,2011-10-23,23-240,MIN,,GNB,L 27-33,*,13,32,40.63,219,2,2,59.2,6.84,5.28,4,31,7.75,0,0.0,1,0
3,8,2011-10-30,23-247,MIN,@,CAR,W 24-21,*,18,28,64.29,236,1,0,102.7,8.43,9.14,4,4,1.00,0,0.0,0,0
4,9,2011-11-14,23-262,MIN,@,GNB,L 7-45,*,16,34,47.06,190,0,1,52.3,5.59,4.26,2,17,8.50,0,0.0,0,0
5,10,2011-11-20,23-268,MIN,,OAK,L 21-27,*,19,33,57.58,211,2,3,59.0,6.39,3.52,5,71,14.20,0,0.0,1,0
6,11,2011-11-27,23-275,MIN,@,ATL,L 14-24,*,17,25,68.00,186,1,0,103.1,7.44,8.24,2,9,4.50,0,0.0,0,0
7,12,2011-12-04,23-282,MIN,,DEN,L 32-35,*,29,47,61.70,381,3,2,90.8,8.11,7.47,1,12,12.00,0,0.0,0,0
8,13,2011-12-11,23-289,MIN,@,DET,L 28-34,*,11,21,52.38,115,2,3,60.7,5.48,0.95,2,13,6.50,0,0.0,0,0
9,14,2011-12-18,23-296,MIN,,NOR,L 20-42,*,14,31,45.16,120,2,1,63.9,3.87,3.71,3,34,11.33,0,0.0,0,0
10,15,2011-12-24,23-302,MIN,@,WAS,W 33-26,*,8,13,61.54,68,0,0,75.2,5.23,5.23,4,20,5.00,0,0.0,0,0
11,16,2012-01-01,23-310,MIN,,CHI,L 13-17,*,4,10,40.00,28,0,1,8.3,2.80,-1.70,0,0,,0,0.0,0,0
,,11 Games,,,,,2-9-0,,158,291,54.30,1853,13,13,70.1,6.37,5.25,28,219,7.82,0,0.0,2,0
