
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-197,MIN,,JAX,W 26-23,*,20,27,74.07,270,0,0,105.5,10.00,10.00,1,1,1.00,0,0,0,0,,0,0,0
2,2,2012-09-16,24-204,MIN,@,IND,L 20-23,*,27,35,77.14,245,2,0,114.6,7.00,8.14,3,7,2.33,0,0,0,0,,0,0,0
3,3,2012-09-23,24-211,MIN,,SFO,W 24-13,*,21,35,60.00,198,2,0,94.7,5.66,6.80,7,33,4.71,1,0,0,0,,0,1,6
4,4,2012-09-30,24-218,MIN,@,DET,W 20-13,*,16,26,61.54,111,0,0,71.2,4.27,4.27,1,5,5.00,0,0,0,0,,0,0,0
5,5,2012-10-07,24-225,MIN,,TEN,W 30-7,*,25,35,71.43,258,2,2,87.6,7.37,5.94,3,31,10.33,0,0,0,0,,0,0,0
6,6,2012-10-14,24-232,MIN,@,WAS,L 26-38,*,35,52,67.31,352,2,2,83.2,6.77,5.81,4,13,3.25,0,0,0,0,,0,0,0
7,7,2012-10-21,24-239,MIN,,ARI,W 21-14,*,8,17,47.06,58,1,2,35.5,3.41,-0.71,1,2,2.00,0,0,0,0,,0,0,0
8,8,2012-10-25,24-243,MIN,,TAM,L 17-36,*,19,35,54.29,251,1,1,74.8,7.17,6.46,4,12,3.00,0,0,0,0,,0,0,0
9,9,2012-11-04,24-253,MIN,@,SEA,L 20-30,*,11,22,50.00,63,0,1,37.3,2.86,0.82,5,23,4.60,0,0,0,0,,0,0,0
10,10,2012-11-11,24-260,MIN,,DET,W 34-24,*,24,32,75.00,221,2,0,114.2,6.91,8.16,6,22,3.67,0,1,1,-15,-15.00,0,0,0
11,11,2012-11-25,24-274,MIN,@,CHI,L 10-28,*,22,43,51.16,159,1,1,58.2,3.70,3.12,2,6,3.00,0,0,0,0,,0,0,0
12,12,2012-12-02,24-281,MIN,@,GNB,L 14-23,*,12,25,48.00,119,1,2,41.9,4.76,1.96,6,28,4.67,0,0,0,0,,0,0,0
13,13,2012-12-09,24-288,MIN,,CHI,W 21-14,*,11,17,64.71,91,0,1,53.8,5.35,2.71,4,0,0.00,0,0,0,0,,0,0,0
14,14,2012-12-16,24-295,MIN,@,STL,W 36-22,*,17,24,70.83,131,0,0,83.9,5.46,5.46,4,6,1.50,1,0,0,0,,0,1,6
15,15,2012-12-23,24-302,MIN,@,HOU,W 23-6,*,16,30,53.33,174,1,0,81.8,5.80,6.47,7,48,6.86,0,0,0,0,,0,0,0
16,16,2012-12-30,24-309,MIN,,GNB,W 37-34,*,16,28,57.14,234,3,0,120.2,8.36,10.50,2,16,8.00,0,0,0,0,,0,0,0
,,16 Games,,,,,10-6-0,,300,483,62.11,2935,18,12,81.2,6.08,5.70,60,253,4.22,2,1,1,-15,-15.00,0,2,12
