
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,boxscore,L,,0-1,@,San Diego Chargers,17,24,10,187,28,159,1,31,407,330,77,2,-8.04,-8.34,7.38
2,Sun,September 18,boxscore,L,,0-2,,Tampa Bay Buccaneers,20,24,25,398,212,186,1,19,335,230,105,1,13.95,-8.91,-8.24
3,Sun,September 25,boxscore,L,OT,0-3,,Detroit Lions,23,26,16,321,189,132,,19,358,338,20,,-4.87,-5.27,6.67
4,Sun,October 2,boxscore,L,,0-4,@,Kansas City Chiefs,17,22,17,341,190,151,1,15,350,247,103,,2.77,-4.53,-4.95
5,Sun,October 9,boxscore,W,,1-4,,Arizona Cardinals,34,10,20,332,160,172,1,18,291,214,77,4,5.24,22.49,-0.07
6,Sun,October 16,boxscore,L,,1-5,@,Chicago Bears,10,39,15,286,233,53,,22,377,258,119,1,-7.93,-9.90,-11.68
7,Sun,October 23,boxscore,L,,1-6,,Green Bay Packers,27,33,22,435,217,218,2,25,421,307,114,1,9.10,-18.22,0.22
8,Sun,October 30,boxscore,W,,2-6,@,Carolina Panthers,24,21,22,361,229,132,1,21,405,265,140,2,8.36,-7.56,1.59
9,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Mon,November 14,boxscore,L,,2-7,@,Green Bay Packers,7,45,14,266,162,104,1,23,356,266,90,1,-11.17,-22.87,-2.40
11,Sun,November 20,boxscore,L,,2-8,,Oakland Raiders,21,27,20,311,187,124,5,22,301,139,162,1,-9.04,0.73,-1.20
12,Sun,November 27,boxscore,L,,2-9,@,Atlanta Falcons,14,24,12,226,162,64,,22,335,246,89,1,-8.27,-9.56,10.74
13,Sun,December 4,boxscore,L,,2-10,,Denver Broncos,32,35,27,489,360,129,3,13,336,186,150,2,1.29,2.73,-7.02
14,Sun,December 11,boxscore,L,,2-11,@,Detroit Lions,28,34,29,425,156,269,6,13,280,208,72,,-5.54,-1.79,-2.04
15,Sun,December 18,boxscore,L,,2-12,,New Orleans Saints,20,42,12,207,102,105,1,36,573,412,161,2,-8.70,-26.41,8.26
16,Sat,December 24,boxscore,W,,3-12,@,Washington Redskins,33,26,20,389,148,241,,23,397,256,141,2,13.67,-2.11,-5.68
17,Sun,January 1,boxscore,L,,3-13,,Chicago Bears,13,17,16,301,222,79,3,10,209,117,92,3,-18.96,18.48,-3.34
