
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-08,32-236,NOR,@,GNB,L 34-42,*,32,49,65.31,419,3,0,112.5,8.55,9.78,1,3,3.00,0,0,0,0.0,0,0
2,2,2011-09-18,32-246,NOR,,CHI,W 30-13,*,26,37,70.27,270,3,0,118.1,7.30,8.92,1,2,2.00,0,0,0,0.0,0,0
3,3,2011-09-25,32-253,NOR,,HOU,W 40-33,*,31,44,70.45,370,3,2,99.6,8.41,7.73,4,-1,-0.25,0,0,0,0.0,0,0
4,4,2011-10-02,32-260,NOR,@,JAX,W 23-10,*,31,44,70.45,351,1,2,82.7,7.98,6.39,3,10,3.33,0,0,0,0.0,1,0
5,5,2011-10-09,32-267,NOR,@,CAR,W 30-27,*,32,45,71.11,359,2,1,100.1,7.98,7.87,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,32-274,NOR,@,TAM,L 20-26,*,29,45,64.44,383,1,3,70.9,8.51,5.96,3,21,7.00,0,0,0,0.0,0,0
7,7,2011-10-23,32-281,NOR,,IND,W 62-7,*,31,35,88.57,325,5,0,144.9,9.29,12.14,0,0,,0,0,0,0.0,0,0
8,8,2011-10-30,32-288,NOR,@,STL,L 21-31,*,30,44,68.18,269,1,2,73.0,6.11,4.52,1,-1,-1.00,0,0,0,0.0,0,0
9,9,2011-11-06,32-295,NOR,,TAM,W 27-16,*,27,36,75.00,258,2,1,101.4,7.17,7.03,1,20,20.00,0,0,0,0.0,0,0
10,10,2011-11-13,32-302,NOR,@,ATL,W 26-23,*,30,43,69.77,322,2,0,106.9,7.49,8.42,0,0,,0,0,0,0.0,0,0
11,11,2011-11-28,32-317,NOR,,NYG,W 49-24,*,24,38,63.16,363,4,0,129.6,9.55,11.66,1,8,8.00,1,1,6,0.0,0,0
12,12,2011-12-04,32-323,NOR,,DET,W 31-17,*,26,36,72.22,342,3,0,129.6,9.50,11.17,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,32-330,NOR,@,TEN,W 22-17,*,36,47,76.60,337,2,0,110.0,7.17,8.02,2,6,3.00,0,0,0,0.0,0,0
14,14,2011-12-18,32-337,NOR,@,MIN,W 42-20,*,32,40,80.00,412,5,0,149.2,10.30,12.80,2,4,2.00,0,0,0,0.0,1,0
15,15,2011-12-26,32-345,NOR,,ATL,W 45-16,*,23,39,58.97,307,4,2,96.8,7.87,7.62,1,9,9.00,0,0,0,0.0,0,0
16,16,2012-01-01,32-351,NOR,,CAR,W 45-17,*,28,35,80.00,389,5,1,140.7,11.11,12.69,1,5,5.00,0,0,0,0.0,0,0
,,16 Games,,,,,13-3-0,,468,657,71.23,5476,46,14,110.6,8.33,8.78,21,86,4.10,1,1,6,0.0,2,0
