
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2013-09-08,34-236,NOR,,ATL,W 23-17,*,26,35,74.29,357,2,1,113.6,10.20,10.06,3,2,0.67,0,0,0
2,2,2013-09-15,34-243,NOR,@,TAM,W 16-14,*,26,46,56.52,322,1,2,67.5,7.00,5.48,0,0,,0,0,0
3,3,2013-09-22,34-250,NOR,,ARI,W 31-7,*,29,46,63.04,342,3,1,98.3,7.43,7.76,6,21,3.50,1,1,6
4,4,2013-09-30,34-258,NOR,,MIA,W 38-17,*,30,39,76.92,413,4,0,144.5,10.59,12.64,4,2,0.50,0,0,0
5,5,2013-10-06,34-264,NOR,@,CHI,W 26-18,*,29,35,82.86,288,2,0,120.0,8.23,9.37,1,-2,-2.00,0,0,0
6,6,2013-10-13,34-271,NOR,@,NWE,L 27-30,*,17,36,47.22,236,2,1,75.7,6.56,6.42,2,11,5.50,0,0,0
7,7,2013-10-27,34-285,NOR,,BUF,W 35-17,*,26,34,76.47,332,5,0,146.1,9.76,12.71,4,-1,-0.25,0,0,0
8,8,2013-11-03,34-292,NOR,@,NYJ,L 20-26,*,30,51,58.82,382,2,2,79.0,7.49,6.51,1,-1,-1.00,0,0,0
9,9,2013-11-10,34-299,NOR,,DAL,W 49-17,*,34,41,82.93,392,4,0,139.0,9.56,11.51,0,0,,0,0,0
10,10,2013-11-17,34-306,NOR,,SFO,W 23-20,*,30,43,69.77,305,1,1,87.8,7.09,6.51,1,-1,-1.00,0,0,0
11,11,2013-11-21,34-310,NOR,@,ATL,W 17-13,*,23,33,69.70,278,2,0,115.5,8.42,9.64,4,-6,-1.50,0,0,0
12,12,2013-12-02,34-321,NOR,@,SEA,L 7-34,*,23,38,60.53,147,1,0,77.4,3.87,4.39,1,-1,-1.00,0,0,0
13,13,2013-12-08,34-327,NOR,,CAR,W 31-13,*,30,42,71.43,313,4,0,124.4,7.45,9.36,3,3,1.00,0,0,0
14,14,2013-12-15,34-334,NOR,@,STL,L 16-27,*,39,56,69.64,393,1,2,80.4,7.02,5.77,2,8,4.00,1,1,6
15,15,2013-12-22,34-341,NOR,@,CAR,L 13-17,*,30,44,68.18,281,1,2,74.1,6.39,4.80,1,9,9.00,0,0,0
16,16,2013-12-29,34-348,NOR,,TAM,W 42-17,*,24,31,77.42,381,4,0,157.4,12.29,14.87,2,8,4.00,1,1,6
,,16 Games,,,,,11-5-0,,446,650,68.62,5162,39,12,104.7,7.94,8.31,35,52,1.49,3,3,18
