
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,35-235,NOR,@,ATL,L 34-37,*,29,42,69.05,333,1,1,90.7,7.93,7.33,1,2,2.00,0,0,0,0,,0,0,0
2,2,2014-09-14,35-242,NOR,@,CLE,L 24-26,*,27,40,67.50,237,2,1,89.3,5.93,5.80,1,3,3.00,0,0,0,0,,0,0,0
3,3,2014-09-21,35-249,NOR,,MIN,W 20-9,*,27,35,77.14,293,2,0,120.3,8.37,9.51,3,-2,-0.67,0,0,0,0,,0,0,0
4,4,2014-09-28,35-256,NOR,@,DAL,L 17-38,*,32,44,72.73,340,2,1,100.6,7.73,7.61,1,6,6.00,0,0,0,0,,0,0,0
5,5,2014-10-05,35-263,NOR,,TAM,W 37-31,*,35,57,61.40,371,2,3,70.1,6.51,4.84,1,-1,-1.00,0,0,0,0,,0,0,0
6,6,2014-10-19,35-277,NOR,@,DET,L 23-24,*,28,45,62.22,342,2,1,91.2,7.60,7.49,1,13,13.00,0,0,0,0,,0,0,0
7,7,2014-10-26,35-284,NOR,,GNB,W 44-23,*,27,32,84.38,311,3,0,138.4,9.72,11.59,1,6,6.00,0,0,0,0,,0,0,0
8,8,2014-10-30,35-288,NOR,@,CAR,W 28-10,*,24,34,70.59,297,1,1,94.9,8.74,8.00,4,2,0.50,1,0,0,0,,0,1,6
9,9,2014-11-09,35-298,NOR,,SFO,L 24-27,*,28,47,59.57,292,3,2,81.2,6.21,5.57,2,7,3.50,0,0,0,0,,0,0,0
10,10,2014-11-16,35-305,NOR,,CIN,L 10-27,*,33,41,80.49,255,1,0,100.7,6.22,6.71,1,3,3.00,0,0,0,0,,0,0,0
11,11,2014-11-24,35-313,NOR,,BAL,L 27-34,*,35,45,77.78,420,3,1,118.5,9.33,9.67,3,15,5.00,0,0,0,0,,0,0,0
12,12,2014-11-30,35-319,NOR,@,PIT,W 35-32,*,19,27,70.37,257,5,0,140.0,9.52,13.22,0,0,,0,0,0,0,,0,0,0
13,13,2014-12-07,35-326,NOR,,CAR,L 10-41,*,29,49,59.18,235,1,1,69.7,4.80,4.29,1,6,6.00,0,0,0,0,,0,0,0
14,14,2014-12-15,35-334,NOR,@,CHI,W 31-15,*,29,36,80.56,375,3,0,137.8,10.42,12.08,3,2,0.67,0,0,0,0,,0,0,0
15,15,2014-12-21,35-340,NOR,,ATL,L 14-30,*,30,47,63.83,313,1,2,72.4,6.66,5.17,2,8,4.00,0,0,0,0,,0,0,0
16,16,2014-12-28,35-347,NOR,@,TAM,W 23-20,*,24,38,63.16,281,1,3,61.4,7.39,4.37,2,-2,-1.00,0,1,1,1,1.00,0,0,0
,,16 Games,,,,,7-9-0,,456,659,69.20,4952,33,17,97.0,7.51,7.36,27,68,2.52,1,1,1,1,1.00,0,1,6
