
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-08,28-095,NOR,@,GNB,L 34-42,9,6,81,13.50,0,0,0,0.0,0,0
2,4,2011-10-02,28-119,NOR,@,JAX,W 23-10,3,1,8,8.00,0,0,0,0.0,0,0
3,5,2011-10-09,28-126,NOR,@,CAR,W 30-27,6,5,69,13.80,0,0,0,0.0,0,0
4,6,2011-10-16,28-133,NOR,@,TAM,L 20-26,11,7,118,16.86,1,1,6,0.0,1,0
5,7,2011-10-23,28-140,NOR,,IND,W 62-7,7,7,98,14.00,2,2,12,0.0,0,0
6,8,2011-10-30,28-147,NOR,@,STL,L 21-31,6,3,50,16.67,0,0,0,0.0,0,0
7,9,2011-11-06,28-154,NOR,,TAM,W 27-16,5,5,52,10.40,0,0,0,0.0,0,0
8,10,2011-11-13,28-161,NOR,@,ATL,W 26-23,9,8,113,14.13,0,0,0,0.0,0,0
9,11,2011-11-28,28-176,NOR,,NYG,W 49-24,6,3,78,26.00,0,0,0,0.0,0,0
10,12,2011-12-04,28-182,NOR,,DET,W 31-17,8,6,54,9.00,0,0,0,0.0,0,0
11,13,2011-12-11,28-189,NOR,@,TEN,W 22-17,7,7,105,15.00,2,2,12,0.0,0,0
12,14,2011-12-18,28-196,NOR,@,MIN,W 42-20,9,8,91,11.38,0,0,0,0.0,0,0
13,15,2011-12-26,28-204,NOR,,ATL,W 45-16,11,7,81,11.57,1,1,6,0.0,0,0
14,16,2012-01-01,28-210,NOR,,CAR,W 45-17,10,7,145,20.71,2,2,12,0.0,0,0
,,14 Games,,,,,11-3-0,107,80,1143,14.29,8,8,48,0.0,1,0
