
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-290,NOR,,WAS,L 32-40,10,6,85,14.17,1,1,6
2,2,2012-09-16,25-297,NOR,@,CAR,L 27-35,13,7,71,10.14,1,1,6
3,3,2012-09-23,25-304,NOR,,KAN,L 24-27,8,4,16,4.00,1,1,6
4,4,2012-09-30,25-311,NOR,@,GNB,L 27-28,9,7,76,10.86,0,0,0
5,5,2012-10-07,25-318,NOR,,SDG,W 31-24,2,1,4,4.00,0,0,0
6,7,2012-10-28,25-339,NOR,@,DEN,L 14-34,10,5,63,12.60,1,1,6
7,8,2012-11-05,25-347,NOR,,PHI,W 28-13,11,8,72,9.00,1,1,6
8,9,2012-11-11,25-353,NOR,,ATL,W 31-27,8,7,146,20.86,2,2,12
9,10,2012-11-18,25-360,NOR,@,OAK,W 38-17,6,6,29,4.83,1,1,6
10,11,2012-11-25,26-001,NOR,,SFO,L 21-31,6,4,33,8.25,0,0,0
11,12,2012-11-29,26-005,NOR,@,ATL,L 13-23,6,4,59,14.75,0,0,0
12,13,2012-12-09,26-015,NOR,@,NYG,L 27-52,10,5,56,11.20,0,0,0
13,14,2012-12-16,26-022,NOR,,TAM,W 41-0,9,5,69,13.80,0,0,0
14,15,2012-12-23,26-029,NOR,@,DAL,W 34-31,11,7,88,12.57,0,0,0
15,16,2012-12-30,26-036,NOR,,CAR,L 38-44,16,9,115,12.78,1,1,6
,,15 Games,,,,,6-9-0,135,85,982,11.55,9,9,54
