
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-287,NOR,@,ATL,L 34-37,10,8,82,10.25,0,0,0,0.0,0,0
2,2,2014-09-14,27-294,NOR,@,CLE,L 24-26,13,10,118,11.80,2,2,12,0.0,0,0
3,3,2014-09-21,27-301,NOR,,MIN,W 20-9,8,6,54,9.00,0,0,0,0.0,0,0
4,4,2014-09-28,27-308,NOR,@,DAL,L 17-38,11,8,86,10.75,1,1,6,0.0,1,0
5,5,2014-10-05,27-315,NOR,,TAM,W 37-31,5,2,36,18.00,0,0,0,0.0,0,0
6,6,2014-10-19,27-329,NOR,@,DET,L 23-24,2,0,0,,0,0,0,0.0,0,0
7,7,2014-10-26,27-336,NOR,,GNB,W 44-23,6,5,59,11.80,1,1,6,0.0,0,0
8,8,2014-10-30,27-340,NOR,@,CAR,W 28-10,7,7,83,11.86,1,1,6,0.0,0,0
9,9,2014-11-09,27-350,NOR,,SFO,L 24-27,13,10,76,7.60,2,2,12,0.0,0,0
10,10,2014-11-16,27-357,NOR,,CIN,L 10-27,3,3,29,9.67,0,0,0,0.0,0,0
11,11,2014-11-24,28-000,NOR,,BAL,L 27-34,10,6,47,7.83,2,2,12,0.0,0,0
12,12,2014-11-30,28-006,NOR,@,PIT,W 35-32,,,,,,,,,,
13,13,2014-12-07,28-013,NOR,,CAR,L 10-41,11,3,25,8.33,0,0,0,0.0,0,0
14,14,2014-12-15,28-021,NOR,@,CHI,W 31-15,7,5,87,17.40,0,0,0,0.0,0,0
15,15,2014-12-21,28-027,NOR,,ATL,L 14-30,10,6,53,8.83,1,1,6,0.0,0,0
16,16,2014-12-28,28-034,NOR,@,TAM,W 23-20,9,6,54,9.00,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,125,85,889,10.46,10,10,60,0.0,1,0
