
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-260,NOR,@,ATL,L 34-37,13,60,4.62,2,1,1,1,1.00,0,2,12,0.0,0,0
2,2,2014-09-14,24-267,NOR,@,CLE,L 24-26,11,83,7.55,1,4,3,21,7.00,0,1,6,0.0,0,0
3,6,2014-10-19,24-302,NOR,@,DET,L 23-24,10,16,1.60,0,3,2,13,6.50,0,0,0,0.0,0,0
4,7,2014-10-26,24-309,NOR,,GNB,W 44-23,24,172,7.17,1,2,1,3,3.00,0,1,6,0.0,0,0
5,8,2014-10-30,24-313,NOR,@,CAR,W 28-10,30,100,3.33,2,2,1,10,10.00,0,2,12,0.0,0,0
6,9,2014-11-09,24-323,NOR,,SFO,L 24-27,27,120,4.44,0,5,3,19,6.33,0,0,0,0.0,0,0
7,10,2014-11-16,24-330,NOR,,CIN,L 10-27,23,67,2.91,0,7,7,30,4.29,0,0,0,0.0,0,0
8,11,2014-11-24,24-338,NOR,,BAL,L 27-34,11,27,2.45,0,2,2,15,7.50,0,0,0,0.0,0,0
9,12,2014-11-30,24-344,NOR,@,PIT,W 35-32,23,122,5.30,0,2,2,-1,-0.50,0,0,0,0.0,0,0
10,13,2014-12-07,24-351,NOR,,CAR,L 10-41,10,43,4.30,0,2,2,13,6.50,0,0,0,0.0,1,0
11,14,2014-12-15,24-359,NOR,@,CHI,W 31-15,17,59,3.47,1,0,0,0,,0,1,6,0.0,0,0
12,15,2014-12-21,25-000,NOR,,ATL,L 14-30,13,38,2.92,1,3,3,17,5.67,0,1,6,0.0,0,0
13,16,2014-12-28,25-007,NOR,@,TAM,W 23-20,14,57,4.07,1,3,2,4,2.00,0,1,6,0.0,0,0
,,13 Games,,,,,5-8-0,226,964,4.27,9,36,29,145,5.00,0,9,54,0.0,1,0
