
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-09,29-081,NOR,,WAS,L 32-40,8,5,35,7.00,1,0,0,,0,3,103,34.33,0,2,14,7.00,0,1,1,8
2,2,2012-09-16,29-088,NOR,@,CAR,L 27-35,14,13,128,9.85,0,0,0,,0,2,52,26.00,0,2,30,15.00,0,,0,0
3,3,2012-09-23,29-095,NOR,,KAN,L 24-27,3,0,0,,0,7,62,8.86,0,4,107,26.75,0,1,2,2.00,0,,0,0
4,4,2012-09-30,29-102,NOR,@,GNB,L 27-28,7,5,44,8.80,1,5,20,4.00,0,3,91,30.33,0,1,4,4.00,0,,1,6
5,5,2012-10-07,29-109,NOR,,SDG,W 31-24,7,5,28,5.60,0,5,9,1.80,0,2,49,24.50,0,2,2,1.00,0,,0,0
6,6,2012-10-21,29-123,NOR,@,TAM,W 35-28,4,4,32,8.00,1,5,27,5.40,0,0,0,,0,1,15,15.00,0,,1,6
7,7,2012-10-28,29-130,NOR,@,DEN,L 14-34,9,7,56,8.00,1,4,-1,-0.25,0,0,0,,0,1,-1,-1.00,0,,1,6
8,11,2012-11-25,29-158,NOR,,SFO,L 21-31,9,7,65,9.29,0,0,0,,0,0,0,,0,1,3,3.00,0,,0,0
9,12,2012-11-29,29-162,NOR,@,ATL,L 13-23,9,5,47,9.40,0,0,0,,0,0,0,,0,4,62,15.50,0,,0,0
10,13,2012-12-09,29-172,NOR,@,NYG,L 27-52,7,4,28,7.00,1,5,56,11.20,1,0,0,,0,2,5,2.50,0,,2,12
11,14,2012-12-16,29-179,NOR,,TAM,W 41-0,8,5,21,4.20,1,5,22,4.40,0,0,0,,0,3,38,12.67,0,,1,6
12,15,2012-12-23,29-186,NOR,@,DAL,W 34-31,10,7,104,14.86,0,9,48,5.33,0,1,15,15.00,0,2,10,5.00,0,,0,0
13,16,2012-12-30,29-193,NOR,,CAR,L 38-44,9,8,79,9.88,1,3,1,0.33,0,3,66,22.00,0,1,-1,-1.00,0,,1,6
,,13 Games,,,,,4-9-0,104,75,667,8.89,7,48,244,5.08,1,18,483,26.83,0,23,183,7.96,0,1,8,50
