
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-264,NOR,,ATL,W 23-17,9,43,4.78,0,4,4,16,4.00,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,28-271,NOR,@,TAM,W 16-14,5,29,5.80,0,5,4,19,4.75,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,28-278,NOR,,ARI,W 31-7,11,28,2.55,0,6,6,39,6.50,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-30,28-286,NOR,,MIA,W 38-17,4,1,0.25,0,6,5,37,7.40,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,28-292,NOR,@,CHI,W 26-18,19,36,1.89,0,9,9,55,6.11,2,0,0,,0,2,12,0.0,0,0
6,6,2013-10-13,28-299,NOR,@,NWE,L 27-30,11,51,4.64,0,1,1,29,29.00,0,1,12,12.00,0,0,0,0.0,1,0
7,7,2013-10-27,28-313,NOR,,BUF,W 35-17,14,65,4.64,0,3,3,29,9.67,0,0,0,,0,0,0,0.0,0,0
8,8,2013-11-03,28-320,NOR,@,NYJ,L 20-26,6,24,4.00,0,10,7,66,9.43,0,0,0,,0,0,0,0.0,1,0
9,9,2013-11-10,28-327,NOR,,DAL,W 49-17,17,87,5.12,1,7,7,24,3.43,1,0,0,,0,2,12,0.0,0,0
10,10,2013-11-17,28-334,NOR,,SFO,W 23-20,11,49,4.45,0,5,5,35,7.00,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-21,28-338,NOR,@,ATL,W 17-13,10,73,7.30,0,6,5,57,11.40,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-02,28-349,NOR,@,SEA,L 7-34,4,0,0.00,0,4,4,21,5.25,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,28-355,NOR,,CAR,W 31-13,7,14,2.00,0,4,4,14,3.50,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,28-362,NOR,@,STL,L 16-27,8,21,2.63,0,8,7,62,8.86,0,0,0,,0,0,0,0.0,1,0
15,15,2013-12-22,29-004,NOR,@,CAR,L 13-17,4,8,2.00,0,5,5,7,1.40,0,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,29-011,NOR,,TAM,W 42-17,7,20,2.86,1,1,1,3,3.00,0,0,0,,0,1,6,0.0,0,0
,,16 Games,,,,,11-5-0,147,549,3.73,2,84,77,513,6.66,3,1,12,12.00,0,5,30,0.0,3,0
