
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-277,NWE,@,BUF,W 23-21,7,15,2.14,0,0,0,0,,0,2,35,17.50,0,0,0,0.0,1,0
2,2,2013-09-12,26-281,NWE,,NYJ,W 13-10,4,11,2.75,0,1,0,0,,0,1,25,25.00,0,0,0,0.0,0,0
3,3,2013-09-22,26-291,NWE,,TAM,W 23-3,14,65,4.64,0,0,0,0,,0,1,24,24.00,0,0,0,0.0,0,0
4,4,2013-09-29,26-298,NWE,@,ATL,W 30-23,9,64,7.11,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
5,5,2013-10-06,26-305,NWE,@,CIN,L 6-13,12,51,4.25,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-13,26-312,NWE,,NOR,W 30-27,7,9,1.29,0,1,0,0,,0,2,51,25.50,0,0,0,0.0,0,0
7,7,2013-10-20,26-319,NWE,@,NYJ,L 27-30,1,4,4.00,0,0,0,0,,0,4,96,24.00,0,0,0,0.0,0,0
8,8,2013-10-27,26-326,NWE,,MIA,W 27-17,11,46,4.18,0,0,0,0,,0,2,46,23.00,0,0,0,0.0,0,0
9,9,2013-11-03,26-333,NWE,,PIT,W 55-31,5,47,9.40,1,0,0,0,,0,3,72,24.00,0,1,6,0.0,0,0
10,10,2013-11-18,26-348,NWE,@,CAR,L 20-24,10,49,4.90,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,26-354,NWE,,DEN,W 34-31,2,13,6.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,26-361,NWE,@,HOU,W 34-31,12,44,3.67,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
13,13,2013-12-08,27-003,NWE,,CLE,W 27-26,8,42,5.25,0,2,1,32,32.00,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,27-010,NWE,@,MIA,L 20-24,11,47,4.27,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,27-017,NWE,@,BAL,W 41-7,16,76,4.75,2,0,0,0,,0,0,0,,0,2,12,0.0,0,0
16,16,2013-12-29,27-024,NWE,,BUF,W 34-20,24,189,7.88,2,0,0,0,,0,2,145,72.50,0,2,12,0.0,0,0
,,16 Games,,,,,12-4-0,153,772,5.05,7,5,2,38,19.00,0,17,494,29.06,0,7,42,0.0,1,0
