
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,26-072,NWE,@,MIA,W 38-24,7,34,4.86,1,1,0,0,,0,1,6,0.0,0,1
2,2,2011-09-18,26-078,NWE,,SDG,W 35-21,17,70,4.12,1,1,1,5,5.00,0,1,6,0.0,0,0
3,3,2011-09-25,26-085,NWE,@,BUF,L 31-34,10,18,1.80,0,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,26-092,NWE,@,OAK,W 31-19,16,75,4.69,1,1,1,9,9.00,0,1,6,0.0,0,0
5,5,2011-10-09,26-099,NWE,,NYJ,W 30-21,27,136,5.04,2,1,1,13,13.00,0,2,12,0.0,0,0
6,6,2011-10-16,26-106,NWE,,DAL,W 20-16,14,58,4.14,0,1,1,11,11.00,0,0,0,0.0,0,0
7,7,2011-10-30,26-120,NWE,@,PIT,L 17-25,5,9,1.80,0,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,26-127,NWE,,NYG,L 20-24,12,52,4.33,0,1,1,11,11.00,0,0,0,0.0,0,0
9,9,2011-11-13,26-134,NWE,@,NYJ,W 37-16,8,8,1.00,0,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-21,26-142,NWE,,KAN,W 34-3,20,81,4.05,0,2,1,25,25.00,0,0,0,0.0,0,0
11,11,2011-11-27,26-148,NWE,@,PHI,W 38-20,14,44,3.14,2,0,0,0,,0,2,12,0.0,0,0
12,12,2011-12-04,26-155,NWE,,IND,W 31-24,6,14,2.33,1,1,0,0,,0,1,6,0.0,0,1
13,13,2011-12-11,26-162,NWE,@,WAS,W 34-27,5,19,3.80,0,1,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,26-169,NWE,@,DEN,W 41-23,10,17,1.70,1,2,2,32,16.00,0,1,6,0.0,0,0
15,15,2011-12-24,26-175,NWE,,MIA,W 27-24,3,10,3.33,0,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,26-183,NWE,,BUF,W 49-21,7,22,3.14,2,1,1,53,53.00,0,2,12,0.0,0,0
,,16 Games,,,,,13-3-0,181,667,3.69,11,13,9,159,17.67,0,11,66,0.0,0,2
