
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,22-121,NWE,@,MIA,W 38-24,7,6,86,14.33,1,0,0,,0,1,11,11.00,0,1,6,0.0,0,0
2,2,2011-09-18,22-127,NWE,,SDG,W 35-21,6,4,86,21.50,2,0,0,,0,0,0,,0,2,12,0.0,0,0
3,3,2011-09-25,22-134,NWE,@,BUF,L 31-34,9,7,109,15.57,2,0,0,,0,0,0,,0,2,12,0.0,1,0
4,4,2011-10-02,22-141,NWE,@,OAK,W 31-19,5,1,15,15.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,22-148,NWE,,NYJ,W 30-21,4,4,31,7.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,22-155,NWE,,DAL,W 20-16,7,7,74,10.57,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-30,22-169,NWE,@,PIT,L 17-25,9,7,94,13.43,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,22-176,NWE,,NYG,L 20-24,15,8,101,12.63,1,0,0,,0,0,0,,0,1,6,0.0,0,0
9,9,2011-11-13,22-183,NWE,@,NYJ,W 37-16,11,8,113,14.13,2,0,0,,0,0,0,,0,2,12,0.0,0,0
10,10,2011-11-21,22-191,NWE,,KAN,W 34-3,7,4,96,24.00,2,0,0,,0,0,0,,0,2,12,0.0,0,0
11,11,2011-11-27,22-197,NWE,@,PHI,W 38-20,4,4,59,14.75,1,0,0,,0,0,0,,0,1,6,0.0,0,0
12,12,2011-12-04,22-204,NWE,,IND,W 31-24,6,5,64,12.80,2,1,2,2.00,1,0,0,,0,3,18,0.0,0,0
13,13,2011-12-11,22-211,NWE,@,WAS,W 34-27,10,6,160,26.67,2,0,0,,0,0,0,,0,2,12,0.0,0,0
14,14,2011-12-18,22-218,NWE,@,DEN,W 41-23,5,4,53,13.25,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,22-224,NWE,,MIA,W 27-24,9,7,78,11.14,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,22-232,NWE,,BUF,W 49-21,10,8,108,13.50,2,0,0,,0,0,0,,0,2,12,0.0,0,0
,,16 Games,,,,,13-3-0,124,90,1327,14.74,17,1,2,2.00,1,1,11,11.00,0,18,108,0.0,1,0
