
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-307,NWE,@,MIA,L 20-33,6,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,27-314,NWE,@,MIN,W 30-7,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
3,3,2014-09-21,27-321,NWE,,OAK,W 16-9,8,4,46,11.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2014-09-29,27-329,NWE,@,KAN,L 14-41,10,6,119,19.83,1,0,0,,0,0,0,,0,1,6,0.0,0,0
5,5,2014-10-05,27-335,NWE,,CIN,W 43-17,4,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2014-10-12,27-342,NWE,@,BUF,W 37-22,6,4,97,24.25,2,0,0,,0,0,0,,0,2,12,0.0,0,0
7,7,2014-10-16,27-346,NWE,,NYJ,W 27-25,5,4,55,13.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2014-10-26,27-356,NWE,,CHI,W 51-23,11,11,124,11.27,1,0,0,,0,0,0,,0,1,6,0.0,0,0
9,9,2014-11-02,27-363,NWE,,DEN,W 43-21,13,6,53,8.83,1,0,0,,0,0,0,,0,1,6,0.0,0,0
10,10,2014-11-16,28-012,NWE,@,IND,W 42-20,4,3,62,20.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,28-019,NWE,,DET,W 34-9,12,9,98,10.89,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-30,28-026,NWE,@,GNB,L 21-26,7,5,38,7.60,2,0,0,,0,0,0,,0,2,12,0.0,0,0
13,13,2014-12-07,28-033,NWE,@,SDG,W 23-14,9,4,41,10.25,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2014-12-14,28-040,NWE,,MIA,W 41-13,8,6,66,11.00,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
15,15,2014-12-21,28-047,NWE,@,NYJ,W 17-16,10,7,64,9.14,0,0,0,,0,0,0,,0,0,0,0.0,1,0
16,16,2014-12-28,28-054,NWE,,BUF,L 9-17,6,4,70,17.50,0,2,13,6.50,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,119,74,953,12.88,7,2,13,6.50,0,1,0,0.00,0,7,42,0.0,2,0
