
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,24-224,NWE,@,BUF,W 23-21,9,46,5.11,0,0,0,0,,0,0,0
2,2,2013-09-12,24-228,NWE,,NYJ,W 13-10,16,40,2.50,0,0,0,0,,0,0,0
3,3,2013-09-22,24-238,NWE,,TAM,W 23-3,11,35,3.18,0,1,1,8,8.00,0,0,0
4,4,2013-09-29,24-245,NWE,@,ATL,W 30-23,11,53,4.82,0,2,2,26,13.00,0,0,0
5,6,2013-10-13,24-259,NWE,,NOR,W 30-27,20,96,4.80,2,1,1,14,14.00,0,2,12
6,7,2013-10-20,24-266,NWE,@,NYJ,L 27-30,11,50,4.55,1,2,2,3,1.50,0,1,6
7,8,2013-10-27,24-273,NWE,,MIA,W 27-17,14,79,5.64,1,0,0,0,,0,1,6
8,9,2013-11-03,24-280,NWE,,PIT,W 55-31,26,115,4.42,2,4,3,9,3.00,0,2,12
9,10,2013-11-18,24-295,NWE,@,CAR,L 20-24,13,48,3.69,1,0,0,0,,0,1,6
10,11,2013-11-24,24-301,NWE,,DEN,W 34-31,4,14,3.50,0,0,0,0,,0,0,0
11,13,2013-12-08,24-315,NWE,,CLE,W 27-26,8,35,4.38,0,1,1,2,2.00,0,0,0
12,14,2013-12-15,24-322,NWE,@,MIA,L 20-24,8,34,4.25,0,0,0,0,,0,0,0
13,15,2013-12-22,24-329,NWE,@,BAL,W 41-7,15,54,3.60,0,1,0,0,,0,0,0
14,16,2013-12-29,24-336,NWE,,BUF,W 34-20,12,74,6.17,0,0,0,0,,0,0,0
,,14 Games,,,,,11-3-0,178,773,4.34,7,12,10,62,6.20,0,7,42
