
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,30-134,NWE,@,MIA,W 38-24,12,8,160,20.00,2,0,0,,0,0,0,,0,2,12,0.0,0,0
2,2,2011-09-18,30-140,NWE,,SDG,W 35-21,11,7,81,11.57,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,30-147,NWE,@,BUF,L 31-34,20,16,217,13.56,2,1,19,19.00,0,0,0,,0,2,12,0.0,0,0
4,4,2011-10-02,30-154,NWE,@,OAK,W 31-19,14,9,158,17.56,1,0,0,,0,0,0,,0,1,6,0.0,0,0
5,5,2011-10-09,30-161,NWE,,NYJ,W 30-21,8,5,124,24.80,0,0,0,,0,4,54,13.50,0,0,0,0.0,0,0
6,6,2011-10-16,30-168,NWE,,DAL,W 20-16,10,6,45,7.50,1,0,0,,0,3,27,9.00,0,1,6,0.0,0,1
7,7,2011-10-30,30-182,NWE,@,PIT,L 17-25,8,6,39,6.50,0,0,0,,0,1,1,1.00,0,0,0,0.0,0,0
8,8,2011-11-06,30-189,NWE,,NYG,L 20-24,10,9,136,15.11,0,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,30-196,NWE,@,NYJ,W 37-16,8,6,46,7.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-21,30-204,NWE,,KAN,W 34-3,3,2,22,11.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,30-210,NWE,@,PHI,W 38-20,12,8,115,14.38,2,1,-9,-9.00,0,0,0,,0,2,12,0.0,0,0
12,12,2011-12-04,30-217,NWE,,IND,W 31-24,11,11,110,10.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,30-224,NWE,@,WAS,W 34-27,10,7,86,12.29,1,0,0,,0,0,0,,0,1,6,0.0,0,0
14,14,2011-12-18,30-231,NWE,@,DEN,W 41-23,6,4,41,10.25,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,30-237,NWE,,MIA,W 27-24,19,12,138,11.50,0,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,30-245,NWE,,BUF,W 49-21,11,6,51,8.50,0,0,0,,0,0,0,,0,0,0,0.0,1,0
,,16 Games,,,,,13-3-0,173,122,1569,12.86,9,4,30,7.50,0,8,82,10.25,0,9,54,0.0,1,1
