
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2012-09-09,31-131,NWE,@,TEN,W 34-13,5,3,14,4.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2012-09-16,31-138,NWE,,ARI,L 18-20,11,5,95,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2012-09-23,31-145,NWE,@,BAL,L 30-31,10,8,142,17.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2012-09-30,31-152,NWE,@,BUF,W 52-28,11,9,129,14.33,0,0,0,,0,0,0,,0,1,14,14.00,0,0,0,0.0,0,0
5,5,2012-10-07,31-159,NWE,,DEN,W 31-21,15,13,104,8.00,1,0,0,,0,0,0,,0,1,5,5.00,0,1,6,0.0,0,0
6,6,2012-10-14,31-166,NWE,@,SEA,L 23-24,14,10,138,13.80,1,0,0,,0,0,0,,0,4,68,17.00,0,1,6,0.0,0,0
7,7,2012-10-21,31-173,NWE,,NYJ,W 29-26,8,6,66,11.00,0,0,0,,0,1,17,17.00,0,2,21,10.50,0,0,0,0.0,0,0
8,8,2012-10-28,31-180,NWE,@,STL,W 45-7,9,6,48,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2012-11-11,31-194,NWE,,BUF,W 37-31,11,6,74,12.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,10,2012-11-18,31-201,NWE,,IND,W 59-24,11,7,80,11.43,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2012-11-22,31-205,NWE,@,NYJ,W 49-19,10,7,71,10.14,1,0,0,,0,1,9,9.00,0,1,0,0.00,0,1,6,0.0,0,0
12,12,2012-12-02,31-215,NWE,@,MIA,W 23-16,18,12,103,8.58,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
13,13,2012-12-10,31-223,NWE,,HOU,W 42-14,8,3,52,17.33,0,0,0,,0,1,7,7.00,0,4,50,12.50,0,0,0,0.0,0,0
14,14,2012-12-16,31-229,NWE,,SFO,L 34-41,9,5,56,11.20,0,0,0,,0,0,0,,0,5,13,2.60,0,0,0,0.0,1,0
15,15,2012-12-23,31-236,NWE,@,JAX,W 23-16,12,10,88,8.80,1,1,9,9.00,0,0,0,,0,3,42,14.00,0,1,6,0.0,0,0
16,16,2012-12-30,31-243,NWE,,MIA,W 28-0,12,8,94,11.75,1,1,11,11.00,0,0,0,,0,4,30,7.50,0,1,6,0.0,0,0
,,16 Games,,,,,12-4-0,174,118,1354,11.47,6,2,20,10.00,0,3,33,11.00,0,25,243,9.72,0,6,36,0.0,1,0
