
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2014-09-07,24-153,NWE,@,MIA,L 20-33,3,3,15,5.00,0,0,0,,0,0,0
2,2,2014-09-14,24-160,NWE,@,MIN,W 30-7,1,0,0,,0,0,0,,0,0,0
3,3,2014-09-21,24-167,NWE,,OAK,W 16-9,1,1,20,20.00,0,0,0,,0,0,0
4,4,2014-09-29,24-175,NWE,@,KAN,L 14-41,,,,,,,,,,,
5,5,2014-10-05,24-181,NWE,,CIN,W 43-17,5,5,85,17.00,1,0,0,,0,1,6
6,6,2014-10-12,24-188,NWE,@,BUF,W 37-22,1,1,1,1.00,1,0,0,,0,1,6
7,7,2014-10-16,24-192,NWE,,NYJ,W 27-25,0,,,,,,,,,,
8,8,2014-10-26,24-202,NWE,,CHI,W 51-23,7,7,61,8.71,1,1,-2,-2.00,0,1,6
9,9,2014-11-02,24-209,NWE,,DEN,W 43-21,,,,,,,,,,,
10,10,2014-11-16,24-223,NWE,@,IND,W 42-20,2,1,2,2.00,1,0,0,,0,1,6
11,11,2014-11-23,24-230,NWE,,DET,W 34-9,6,5,36,7.20,2,0,0,,0,2,12
12,12,2014-11-30,24-237,NWE,@,GNB,L 21-26,1,1,12,12.00,0,0,0,,0,0,0
13,13,2014-12-07,24-244,NWE,@,SDG,W 23-14,2,0,0,,0,0,0,,0,0,0
14,14,2014-12-14,24-251,NWE,,MIA,W 41-13,,,,,,,,,,,
15,15,2014-12-21,24-258,NWE,@,NYJ,W 17-16,1,1,12,12.00,0,0,0,,0,0,0
16,16,2014-12-28,24-265,NWE,,BUF,L 9-17,3,1,15,15.00,0,0,0,,0,0,0
,,16 Games,,,,,12-4-0,33,26,259,9.96,6,1,-2,-2.00,0,6,36
