
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-05,26-170,NYG,,DAL,L 17-24,17,78,4.59,1,2,2,15,7.50,0,1,6
2,2,2012-09-16,26-181,NYG,,TAM,W 41-34,5,16,3.20,0,0,0,0,,0,0,0
3,4,2012-09-30,26-195,NYG,@,PHI,L 17-19,13,39,3.00,0,4,3,38,12.67,0,0,0
4,5,2012-10-07,26-202,NYG,,CLE,W 41-27,30,200,6.67,1,6,4,29,7.25,0,1,6
5,6,2012-10-14,26-209,NYG,@,SFO,W 26-3,27,116,4.30,1,1,1,4,4.00,0,1,6
6,7,2012-10-21,26-216,NYG,,WAS,W 27-23,12,43,3.58,1,5,4,22,5.50,0,1,6
7,8,2012-10-28,26-223,NYG,@,DAL,W 29-24,22,78,3.55,0,0,0,0,,0,0,0
8,9,2012-11-04,26-230,NYG,,PIT,L 20-24,15,48,3.20,0,0,0,0,,0,0,0
9,10,2012-11-11,26-237,NYG,@,CIN,L 13-31,10,57,5.70,0,4,3,14,4.67,0,0,0
10,11,2012-11-25,26-251,NYG,,GNB,W 38-10,10,58,5.80,1,3,2,61,30.50,0,1,6
11,12,2012-12-03,26-259,NYG,@,WAS,L 16-17,24,103,4.29,0,2,2,13,6.50,0,0,0
12,13,2012-12-09,26-265,NYG,,NOR,W 52-27,11,33,3.00,0,1,0,0,,0,0,0
13,15,2012-12-23,26-279,NYG,@,BAL,L 14-33,9,39,4.33,0,1,1,8,8.00,0,0,0
14,16,2012-12-30,26-286,NYG,,PHI,W 42-7,16,107,6.69,1,2,1,41,41.00,0,1,6
,,14 Games,,,,,8-6-0,221,1015,4.59,6,31,23,245,10.65,0,6,36
