
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts
1,1,2012-09-05,25-265,NYG,,DAL,L 17-24,0,0,,0,0,0,0,,0,2,29,14.50,0,,0,0
2,2,2012-09-16,25-276,NYG,,TAM,W 41-34,13,71,5.46,1,2,2,19,9.50,0,0,0,,0,1,1,8
3,3,2012-09-20,25-280,NYG,@,CAR,W 36-7,20,113,5.65,2,5,3,17,5.67,0,0,0,,0,,2,12
4,4,2012-09-30,25-290,NYG,@,PHI,L 17-19,5,14,2.80,0,1,1,4,4.00,0,0,0,,0,,0,0
5,5,2012-10-07,25-297,NYG,,CLE,W 41-27,0,0,,0,0,0,0,,0,1,13,13.00,0,,0,0
6,7,2012-10-21,25-311,NYG,,WAS,W 27-23,5,17,3.40,1,1,1,17,17.00,0,0,0,,0,,1,6
7,8,2012-10-28,25-318,NYG,@,DAL,W 29-24,3,21,7.00,1,2,0,0,,0,0,0,,0,,1,6
8,9,2012-11-04,25-325,NYG,,PIT,L 20-24,7,20,2.86,1,0,0,0,,0,0,0,,0,,1,6
9,10,2012-11-11,25-332,NYG,@,CIN,L 13-31,7,65,9.29,1,6,5,29,5.80,0,0,0,,0,,1,6
10,11,2012-11-25,25-346,NYG,,GNB,W 38-10,13,64,4.92,1,0,0,0,,0,0,0,,0,,1,6
,,10 Games,,,,,6-4-0,73,385,5.27,8,17,12,86,7.17,0,3,42,14.00,0,1,8,50
