
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-304,NYG,@,WAS,L 14-28,2,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-19,24-312,NYG,,STL,W 28-16,2,2,17,8.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,24-318,NYG,@,PHI,W 29-16,5,3,110,36.67,2,0,0,,0,0,0,,0,2,12,0.0,0,0
4,4,2011-10-02,24-325,NYG,@,ARI,W 31-27,9,6,98,16.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,24-332,NYG,,SEA,L 25-36,11,8,161,20.13,1,1,3,3.00,0,0,0,,0,1,6,0.0,0,0
6,6,2011-10-16,24-339,NYG,,BUF,W 27-24,4,2,12,6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-30,24-353,NYG,,MIA,W 20-17,9,7,99,14.14,1,0,0,,0,0,0,,0,1,6,0.0,0,0
8,8,2011-11-06,24-360,NYG,@,NWE,W 24-20,11,6,91,15.17,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,25-002,NYG,@,SFO,L 20-27,11,6,84,14.00,0,0,0,,0,3,12,4.00,0,0,0,0.0,1,0
10,10,2011-11-20,25-009,NYG,,PHI,L 10-17,10,6,128,21.33,1,0,0,,0,0,0,,0,1,6,0.0,0,0
11,11,2011-11-28,25-017,NYG,@,NOR,L 24-49,12,9,157,17.44,2,0,0,,0,0,0,,0,2,12,0.0,0,0
12,12,2011-12-04,25-023,NYG,,GNB,L 35-38,9,7,119,17.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,25-030,NYG,@,DAL,W 37-34,8,6,74,12.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,25-037,NYG,,WAS,L 10-23,9,5,44,8.80,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,25-043,NYG,@,NYJ,W 29-14,8,3,164,54.67,1,0,0,,0,0,0,,0,1,6,0.0,0,0
16,16,2012-01-01,25-051,NYG,,DAL,W 31-14,11,6,178,29.67,1,0,0,,0,0,0,,0,1,6,0.0,0,0
,,16 Games,,,,,9-7-0,131,82,1536,18.73,9,1,3,3.00,0,3,12,4.00,0,9,54,0.0,1,0
