
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,25-311,NYG,@,DET,L 14-35,8,5,56,11.20,1,1,6,0.0,0,0
2,2,2014-09-14,25-317,NYG,,ARI,L 14-25,9,7,81,11.57,0,0,0,0.0,0,0
3,3,2014-09-21,25-324,NYG,,HOU,W 30-17,6,6,45,7.50,0,0,0,0.0,0,0
4,4,2014-09-25,25-328,NYG,@,WAS,W 45-14,8,7,54,7.71,3,3,18,0.0,0,0
5,5,2014-10-05,25-338,NYG,,ATL,W 30-20,1,0,0,,0,0,0,0.0,0,0
6,6,2014-10-12,25-345,NYG,@,PHI,L 0-27,2,1,6,6.00,0,0,0,0.0,1,0
7,7,2014-10-19,25-352,NYG,@,DAL,L 21-31,7,7,90,12.86,0,0,0,0.0,0,0
8,8,2014-11-03,26-002,NYG,,IND,L 24-40,8,4,25,6.25,1,1,6,0.0,0,0
9,9,2014-11-09,26-008,NYG,@,SEA,L 17-38,6,4,26,6.50,0,0,0,0.0,0,0
10,10,2014-11-16,26-015,NYG,,SFO,L 10-16,6,3,54,18.00,1,1,6,0.0,0,0
11,11,2014-11-23,26-022,NYG,,DAL,L 28-31,4,2,24,12.00,0,0,0,0.0,0,0
12,12,2014-11-30,26-029,NYG,@,JAX,L 24-25,7,5,55,11.00,0,0,0,0.0,0,0
13,13,2014-12-07,26-036,NYG,@,TEN,W 36-7,7,4,28,7.00,0,0,0,0.0,0,0
14,14,2014-12-14,26-043,NYG,,WAS,W 24-13,2,2,11,5.50,0,0,0,0.0,0,0
15,15,2014-12-21,26-050,NYG,@,STL,W 37-27,5,4,42,10.50,0,0,0,0.0,0,0
16,16,2014-12-28,26-057,NYG,,PHI,L 26-34,6,2,26,13.00,0,0,0,0.0,0,0
,,16 Games,,,,,6-10-0,92,63,623,9.89,6,6,36,0.0,1,0
