
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,29-067,NYG,@,WAS,L 14-28,6,29,4.83,0,1,0,0,,0,,0,0,0.0,0,0
2,2,2011-09-19,29-075,NYG,,STL,W 28-16,16,50,3.13,1,1,1,17,17.00,0,,1,6,0.0,0,0
3,3,2011-09-25,29-081,NYG,@,PHI,W 29-16,7,19,2.71,0,3,2,42,21.00,1,1,1,8,0.0,0,0
4,4,2011-10-02,29-088,NYG,@,ARI,W 31-27,9,18,2.00,1,1,1,0,0.00,0,,1,6,0.0,0,0
5,7,2011-10-30,29-116,NYG,,MIA,W 20-17,4,10,2.50,0,2,1,0,0.00,0,,0,0,0.0,0,0
6,8,2011-11-06,29-123,NYG,@,NWE,W 24-20,18,72,4.00,1,5,4,28,7.00,0,,1,6,0.0,0,0
7,9,2011-11-13,29-130,NYG,@,SFO,L 20-27,18,55,3.06,0,2,2,17,8.50,0,,0,0,0.0,1,0
8,10,2011-11-20,29-137,NYG,,PHI,L 10-17,12,21,1.75,0,4,3,11,3.67,0,,0,0,0.0,0,0
9,11,2011-11-28,29-145,NYG,@,NOR,L 24-49,13,46,3.54,1,0,0,0,,0,,1,6,0.0,0,0
10,12,2011-12-04,29-151,NYG,,GNB,L 35-38,8,59,7.38,1,1,0,0,,0,,1,6,0.0,0,0
11,13,2011-12-11,29-158,NYG,@,DAL,W 37-34,19,101,5.32,2,1,0,0,,0,,2,12,0.0,0,0
12,14,2011-12-18,29-165,NYG,,WAS,L 10-23,8,33,4.13,0,0,0,0,,0,,0,0,0.0,0,0
13,15,2011-12-24,29-171,NYG,@,NYJ,W 29-14,7,42,6.00,0,1,1,13,13.00,0,,0,0,0.0,0,0
14,16,2012-01-01,29-179,NYG,,DAL,W 31-14,7,16,2.29,0,1,0,0,,0,,0,0,0.0,0,0
,,14 Games,,,,,8-6-0,152,571,3.76,7,23,15,128,8.53,1,1,8,50,0.0,1,0
