
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,30-251,NYG,@,WAS,L 14-28,*,18,32,56.25,268,0,1,70.8,8.38,6.97,1,2,2.00,1,1,6
2,2,2011-09-19,30-259,NYG,,STL,W 28-16,*,19,30,63.33,223,2,1,94.2,7.43,7.27,4,-12,-3.00,0,0,0
3,3,2011-09-25,30-265,NYG,@,PHI,W 29-16,*,16,23,69.57,254,4,0,145.7,11.04,14.52,3,-3,-1.00,0,0,0
4,4,2011-10-02,30-272,NYG,@,ARI,W 31-27,*,27,40,67.50,321,2,0,108.4,8.03,9.03,3,-3,-1.00,0,0,0
5,5,2011-10-09,30-279,NYG,,SEA,L 25-36,*,24,39,61.54,420,3,3,91.8,10.77,8.85,3,5,1.67,0,0,0
6,6,2011-10-16,30-286,NYG,,BUF,W 27-24,*,21,32,65.63,292,0,0,94.8,9.13,9.13,2,-1,-0.50,0,0,0
7,7,2011-10-30,30-300,NYG,,MIA,W 20-17,*,31,45,68.89,349,2,0,106.6,7.76,8.64,4,-3,-0.75,0,0,0
8,8,2011-11-06,30-307,NYG,@,NWE,W 24-20,*,20,39,51.28,250,2,1,77.9,6.41,6.28,3,11,3.67,0,0,0
9,9,2011-11-13,30-314,NYG,@,SFO,L 20-27,*,26,40,65.00,311,2,2,84.5,7.78,6.53,2,4,2.00,0,0,0
10,10,2011-11-20,30-321,NYG,,PHI,L 10-17,*,18,35,51.43,264,1,1,74.0,7.54,6.83,0,0,,0,0,0
11,11,2011-11-28,30-329,NYG,@,NOR,L 24-49,*,33,47,70.21,406,2,1,101.9,8.64,8.53,1,4,4.00,0,0,0
12,12,2011-12-04,30-335,NYG,,GNB,L 35-38,*,23,40,57.50,347,3,1,100.7,8.68,9.05,0,0,,0,0,0
13,13,2011-12-11,30-342,NYG,@,DAL,W 37-34,*,27,47,57.45,400,2,1,90.7,8.51,8.40,2,-2,-1.00,0,0,0
14,14,2011-12-18,30-349,NYG,,WAS,L 10-23,*,23,40,57.50,257,0,3,45.5,6.43,3.05,0,0,,0,0,0
15,15,2011-12-24,30-355,NYG,@,NYJ,W 29-14,*,9,27,33.33,225,1,1,61.5,8.33,7.41,1,-1,-1.00,0,0,0
16,16,2012-01-01,30-363,NYG,,DAL,W 31-14,*,24,33,72.73,346,3,0,136.7,10.48,12.30,6,14,2.33,0,0,0
,,16 Games,,,,,9-7-0,,359,589,60.95,4933,29,16,92.9,8.38,8.14,35,15,0.43,1,1,6
