
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-004,NYG,@,DAL,L 31-36,9,7,66,9.43,1,1,6,0.0,0,0
2,2,2013-09-15,28-011,NYG,,DEN,L 23-41,10,6,74,12.33,0,0,0,0.0,0,0
3,3,2013-09-22,28-018,NYG,@,CAR,L 0-38,6,3,33,11.00,0,0,0,0.0,1,0
4,4,2013-09-29,28-025,NYG,@,KAN,L 7-31,1,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,28-032,NYG,,PHI,L 21-36,5,2,35,17.50,0,0,0,0.0,0,0
6,6,2013-10-10,28-036,NYG,@,CHI,L 21-27,1,0,0,,0,0,0,0.0,0,0
7,7,2013-10-21,28-047,NYG,,MIN,W 23-7,3,2,15,7.50,0,0,0,0.0,0,0
8,8,2013-10-27,28-053,NYG,@,PHI,W 15-7,4,3,42,14.00,0,0,0,0.0,0,0
9,9,2013-11-10,28-067,NYG,,OAK,W 24-20,,,,,,,,,,
10,10,2013-11-17,28-074,NYG,,GNB,W 27-13,4,3,32,10.67,0,0,0,0.0,0,0
11,11,2013-11-24,28-081,NYG,,DAL,L 21-24,5,3,39,13.00,1,1,6,0.0,0,0
12,12,2013-12-01,28-088,NYG,@,WAS,W 24-17,6,5,61,12.20,1,1,6,0.0,0,0
13,13,2013-12-08,28-095,NYG,@,SDG,L 14-37,7,4,26,6.50,1,1,6,0.0,0,0
14,14,2013-12-15,28-102,NYG,,SEA,L 0-23,3,3,37,12.33,0,0,0,0.0,0,0
15,15,2013-12-22,28-109,NYG,@,DET,W 23-20,7,4,53,13.25,0,0,0,0.0,1,0
16,16,2013-12-29,28-116,NYG,,WAS,W 20-6,5,2,9,4.50,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,76,47,522,11.11,4,4,24,0.0,2,0
