
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,22-124,NYG,@,DAL,L 31-36,6,5,101,20.20,0,4,20,5.00,0,0,0,0.0,0,0
2,2,2013-09-15,22-131,NYG,,DEN,L 23-41,9,3,14,4.67,0,2,13,6.50,0,0,0,0.0,0,0
3,3,2013-09-22,22-138,NYG,@,CAR,L 0-38,4,2,40,20.00,0,1,0,0.00,0,0,0,0.0,0,0
4,4,2013-09-29,22-145,NYG,@,KAN,L 7-31,4,1,7,7.00,0,4,35,8.75,0,0,0,0.0,0,0
5,5,2013-10-06,22-152,NYG,,PHI,L 21-36,13,6,96,16.00,2,1,8,8.00,0,2,12,0.0,0,0
6,6,2013-10-10,22-156,NYG,@,CHI,L 21-27,5,3,75,25.00,1,0,0,,0,1,6,0.0,0,0
7,7,2013-10-21,22-167,NYG,,MIN,W 23-7,3,3,40,13.33,1,3,25,8.33,0,1,6,0.0,0,0
8,8,2013-10-27,22-173,NYG,@,PHI,W 15-7,1,0,0,,0,2,9,4.50,0,0,0,0.0,0,0
9,9,2013-11-10,22-187,NYG,,OAK,W 24-20,3,3,50,16.67,1,3,30,10.00,0,1,6,0.0,0,0
10,10,2013-11-17,22-194,NYG,,GNB,W 27-13,3,3,37,12.33,1,1,32,32.00,0,1,6,0.0,1,0
11,11,2013-11-24,22-201,NYG,,DAL,L 21-24,7,3,64,21.33,0,1,16,16.00,0,0,0,0.0,0,0
12,12,2013-12-01,22-208,NYG,@,WAS,W 24-17,4,3,20,6.67,0,3,22,7.33,0,0,0,0.0,0,0
13,13,2013-12-08,22-215,NYG,@,SDG,L 14-37,4,2,27,13.50,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,22-222,NYG,,SEA,L 0-23,2,0,0,,0,1,4,4.00,0,0,0,0.0,0,0
15,15,2013-12-22,22-229,NYG,@,DET,W 23-20,9,4,40,10.00,0,3,23,7.67,0,0,0,0.0,0,0
16,16,2013-12-29,22-236,NYG,,WAS,W 20-6,1,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,78,41,611,14.90,6,29,237,8.17,0,6,36,0.0,1,0
