
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,22-011,NYG,@,DET,L 14-35,5,9,1.80,0,1,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,22-017,NYG,,ARI,L 14-25,8,12,1.50,0,4,2,7,3.50,0,0,0,0.0,0,0
3,3,2014-09-21,22-024,NYG,,HOU,W 30-17,6,18,3.00,0,0,0,0,,0,0,0,0.0,0,0
4,4,2014-09-25,22-028,NYG,@,WAS,W 45-14,15,66,4.40,1,1,0,0,,0,1,6,0.0,0,0
5,5,2014-10-05,22-038,NYG,,ATL,W 30-20,20,65,3.25,1,2,2,18,9.00,0,1,6,0.0,0,0
6,6,2014-10-12,22-045,NYG,@,PHI,L 0-27,17,59,3.47,0,0,0,0,,0,0,0,0.0,0,0
7,7,2014-10-19,22-052,NYG,@,DAL,L 21-31,18,51,2.83,0,3,0,0,,0,0,0,0.0,0,0
8,8,2014-11-03,22-067,NYG,,IND,L 24-40,12,22,1.83,1,1,1,24,24.00,0,1,6,0.0,1,0
9,9,2014-11-09,22-073,NYG,@,SEA,L 17-38,13,33,2.54,1,5,2,5,2.50,0,1,6,0.0,0,0
10,10,2014-11-16,22-080,NYG,,SFO,L 10-16,2,2,1.00,0,2,1,4,4.00,0,0,0,0.0,0,0
11,11,2014-11-23,22-087,NYG,,DAL,L 28-31,10,35,3.50,1,2,1,12,12.00,0,1,6,0.0,0,0
12,12,2014-11-30,22-094,NYG,@,JAX,L 24-25,8,21,2.63,0,3,2,16,8.00,0,0,0,0.0,0,0
13,13,2014-12-07,22-101,NYG,@,TEN,W 36-7,24,131,5.46,1,5,3,16,5.33,0,1,6,0.0,0,0
14,14,2014-12-14,22-108,NYG,,WAS,W 24-13,18,44,2.44,0,4,1,9,9.00,0,0,0,0.0,0,0
15,15,2014-12-21,22-115,NYG,@,STL,W 37-27,26,110,4.23,0,1,0,0,,0,0,0,0.0,0,0
16,16,2014-12-28,22-122,NYG,,PHI,L 26-34,15,43,2.87,1,3,3,19,6.33,0,1,6,0.0,0,0
,,16 Games,,,,,6-10-0,217,721,3.32,7,37,18,130,7.22,0,7,42,0.0,1,0
