
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,34-030,NYJ,,DAL,W 27-24,9,4,72,18.00,1,1,6
2,2,2011-09-18,34-037,NYJ,,JAX,W 32-3,2,0,0,,0,0,0
3,3,2011-09-25,34-044,NYJ,@,OAK,L 24-34,6,3,55,18.33,1,1,6
4,4,2011-10-02,34-051,NYJ,@,BAL,L 17-34,8,3,33,11.00,0,0,0
5,5,2011-10-09,34-058,NYJ,@,NWE,L 21-30,8,3,42,14.00,0,0,0
6,6,2011-10-17,34-066,NYJ,,MIA,W 24-6,4,1,16,16.00,0,0,0
7,7,2011-10-23,34-072,NYJ,,SDG,W 27-21,8,4,25,6.25,3,3,18
8,8,2011-11-06,34-086,NYJ,@,BUF,W 27-11,5,5,79,15.80,0,0,0
9,9,2011-11-13,34-093,NYJ,,NWE,L 16-37,8,3,39,13.00,1,1,6
10,10,2011-11-17,34-097,NYJ,@,DEN,L 13-17,9,4,64,16.00,0,0,0
11,11,2011-11-27,34-107,NYJ,,BUF,W 28-24,7,4,54,13.50,1,1,6
12,12,2011-12-04,34-114,NYJ,@,WAS,W 34-19,6,3,33,11.00,0,0,0
13,13,2011-12-11,34-121,NYJ,,KAN,W 37-10,2,0,0,,0,0,0
14,14,2011-12-18,34-128,NYJ,@,PHI,L 19-45,3,1,9,9.00,1,1,6
15,15,2011-12-24,34-134,NYJ,,NYG,L 14-29,6,3,34,11.33,0,0,0
16,16,2012-01-01,34-142,NYJ,@,MIA,L 17-19,5,4,57,14.25,0,0,0
,,16 Games,,,,,8-8-0,96,45,612,13.60,8,8,48
