
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-128,NYJ,,OAK,W 19-14,5,4,50,12.50,0,0,0,0.0,0,0
2,2,2014-09-14,27-135,NYJ,@,GNB,L 24-31,2,1,14,14.00,0,0,0,0.0,0,0
3,3,2014-09-22,27-143,NYJ,,CHI,L 19-27,6,3,18,6.00,0,0,0,0.0,0,0
4,4,2014-09-28,27-149,NYJ,,DET,L 17-24,1,0,0,,0,0,0,0.0,0,0
5,5,2014-10-05,27-156,NYJ,@,SDG,L 0-31,6,2,12,6.00,0,0,0,0.0,0,0
6,6,2014-10-12,27-163,NYJ,,DEN,L 17-31,2,2,10,5.00,0,0,0,0.0,0,0
7,7,2014-10-16,27-167,NYJ,@,NWE,L 25-27,4,3,50,16.67,1,1,6,0.0,0,0
8,8,2014-10-26,27-177,NYJ,,BUF,L 23-43,3,0,0,,0,0,0,0.0,1,0
9,9,2014-11-02,27-184,NYJ,@,KAN,L 10-24,2,0,0,,0,0,0,0.0,0,0
10,10,2014-11-09,27-191,NYJ,,PIT,W 20-13,0,,,,,,,,,
11,11,2014-11-24,27-206,NYJ,@,BUF,L 3-38,3,1,5,5.00,0,0,0,0.0,0,0
12,12,2014-12-01,27-213,NYJ,,MIA,L 13-16,1,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,27-219,NYJ,@,MIN,L 24-30,2,0,0,,0,0,0,0.0,0,0
14,14,2014-12-14,27-226,NYJ,@,TEN,W 16-11,2,2,22,11.00,0,0,0,0.0,0,0
15,15,2014-12-21,27-233,NYJ,,NWE,L 16-17,5,3,43,14.33,1,1,6,0.0,0,0
16,16,2014-12-28,27-240,NYJ,@,MIA,W 37-24,3,2,23,11.50,1,1,6,0.0,0,0
,,16 Games,,,,,4-12-0,47,23,247,10.74,3,3,18,0.0,1,0
