
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-021,NYJ,,DAL,W 27-24,10,26,2.60,0,1,1,7,7.00,0,0,0,0.0,0,0
2,2,2011-09-18,26-028,NYJ,,JAX,W 32-3,16,49,3.06,1,2,2,6,3.00,0,1,6,0.0,1,0
3,3,2011-09-25,26-035,NYJ,@,OAK,L 24-34,15,59,3.93,0,7,7,47,6.71,0,0,0,0.0,0,0
4,4,2011-10-02,26-042,NYJ,@,BAL,L 17-34,10,23,2.30,0,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,26-049,NYJ,@,NWE,L 21-30,21,83,3.95,1,2,2,9,4.50,0,1,6,0.0,0,0
6,6,2011-10-17,26-057,NYJ,,MIA,W 24-6,21,74,3.52,0,2,1,3,3.00,0,0,0,0.0,0,0
7,7,2011-10-23,26-063,NYJ,,SDG,W 27-21,20,112,5.60,0,1,1,5,5.00,0,0,0,0.0,0,0
8,8,2011-11-06,26-077,NYJ,@,BUF,W 27-11,19,76,4.00,0,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,26-084,NYJ,,NWE,L 16-37,13,61,4.69,0,4,2,14,7.00,0,0,0,0.0,0,0
10,10,2011-11-17,26-088,NYJ,@,DEN,L 13-17,3,10,3.33,0,1,1,4,4.00,0,0,0,0.0,0,0
11,11,2011-11-27,26-098,NYJ,,BUF,W 28-24,13,78,6.00,0,4,3,12,4.00,0,0,0,0.0,0,0
12,12,2011-12-04,26-105,NYJ,@,WAS,W 34-19,22,88,4.00,3,4,3,26,8.67,0,3,18,0.0,0,0
13,13,2011-12-11,26-112,NYJ,,KAN,W 37-10,24,129,5.38,1,3,3,58,19.33,0,1,6,0.0,0,0
14,14,2011-12-18,26-119,NYJ,@,PHI,L 19-45,18,73,4.06,0,4,1,0,0.00,0,0,0,0.0,1,0
15,15,2011-12-24,26-125,NYJ,,NYG,L 14-29,14,58,4.14,0,4,3,20,6.67,0,0,0,0.0,0,0
16,16,2012-01-01,26-133,NYJ,@,MIA,L 17-19,14,55,3.93,0,2,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,253,1054,4.17,6,41,30,211,7.03,0,6,36,0.0,2,0
