
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,27-019,NYJ,,BUF,W 48-28,27,94,3.48,1,1,0,0,,0,1,6
2,2,2012-09-16,27-026,NYJ,@,PIT,L 10-27,11,23,2.09,0,0,0,0,,0,0,0
3,3,2012-09-23,27-033,NYJ,@,MIA,W 23-20,19,40,2.11,0,2,2,9,4.50,0,0,0
4,4,2012-09-30,27-040,NYJ,,SFO,L 0-34,11,34,3.09,0,0,0,0,,0,0,0
5,5,2012-10-08,27-048,NYJ,,HOU,L 17-23,8,26,3.25,0,2,1,19,19.00,0,0,0
6,6,2012-10-14,27-054,NYJ,,IND,W 35-9,32,161,5.03,3,0,0,0,,0,3,18
7,7,2012-10-21,27-061,NYJ,@,NWE,L 26-29,16,54,3.38,1,9,6,34,5.67,0,1,6
8,8,2012-10-28,27-068,NYJ,,MIA,L 9-30,15,77,5.13,0,5,2,29,14.50,0,0,0
9,9,2012-11-11,27-082,NYJ,@,SEA,L 7-28,15,58,3.87,0,2,1,5,5.00,0,0,0
10,10,2012-11-18,27-089,NYJ,@,STL,W 27-13,18,64,3.56,0,0,0,0,,0,0,0
11,11,2012-11-22,27-093,NYJ,,NWE,L 19-49,14,71,5.07,0,1,1,9,9.00,0,0,0
12,12,2012-12-02,27-103,NYJ,,ARI,W 7-6,24,104,4.33,0,0,0,0,,0,0,0
13,13,2012-12-09,27-110,NYJ,@,JAX,W 17-10,20,77,3.85,1,0,0,0,,0,1,6
14,14,2012-12-17,27-118,NYJ,@,TEN,L 10-14,13,68,5.23,0,3,2,1,0.50,0,0,0
15,15,2012-12-23,27-124,NYJ,,SDG,L 17-27,14,38,2.71,2,3,2,42,21.00,0,2,12
16,16,2012-12-30,27-131,NYJ,@,BUF,L 9-28,19,74,3.89,0,2,2,3,1.50,0,0,0
,,16 Games,,,,,6-10-0,276,1063,3.85,8,30,19,151,7.95,0,8,48
