
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,27-192,NYJ,,DAL,W 27-24,10,6,70,11.67,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,27-199,NYJ,,JAX,W 32-3,4,3,42,14.00,1,0,0,,0,1,6,0.0,0,0
3,3,2011-09-25,27-206,NYJ,@,OAK,L 24-34,2,1,19,19.00,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,27-213,NYJ,@,BAL,L 17-34,12,3,33,11.00,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,27-220,NYJ,@,NWE,L 21-30,6,4,60,15.00,1,0,0,,0,1,6,0.0,0,0
6,6,2011-10-17,27-228,NYJ,,MIA,W 24-6,4,3,63,21.00,1,0,0,,0,1,6,0.0,0,0
7,7,2011-10-23,27-234,NYJ,,SDG,W 27-21,3,2,24,12.00,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,27-248,NYJ,@,BUF,W 27-11,6,3,29,9.67,1,0,0,,0,1,6,0.0,0,0
9,9,2011-11-13,27-255,NYJ,,NWE,L 16-37,8,6,93,15.50,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-17,27-259,NYJ,@,DEN,L 13-17,9,4,39,9.75,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,27-269,NYJ,,BUF,W 28-24,9,2,22,11.00,1,2,28,14.00,0,1,6,0.0,1,0
12,12,2011-12-04,27-276,NYJ,@,WAS,W 34-19,8,4,58,14.50,1,0,0,,0,1,6,0.0,0,0
13,13,2011-12-11,27-283,NYJ,,KAN,W 37-10,4,2,12,6.00,1,0,0,,0,1,6,0.0,0,0
14,14,2011-12-18,27-290,NYJ,@,PHI,L 19-45,6,4,40,10.00,1,0,0,,0,1,6,0.0,1,0
15,15,2011-12-24,27-296,NYJ,,NYG,L 14-29,9,4,50,12.50,0,1,-1,-1.00,0,0,0,0.0,0,0
16,16,2012-01-01,27-304,NYJ,@,MIA,L 17-19,1,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,101,51,654,12.82,8,3,27,9.00,0,8,48,0.0,2,0
