
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,4,2013-09-29,30-309,TEN,,NYJ,W 38-13,,3,8,37.50,108,1,0,125.0,13.50,16.00,2,-2,-1.00,0,0,0,0,,0,0,0
2,5,2013-10-06,30-316,TEN,,KAN,L 17-26,*,21,41,51.22,247,1,2,57.7,6.02,4.32,6,50,8.33,1,1,1,0,0.00,0,1,6
3,6,2013-10-13,30-323,TEN,@,SEA,L 13-20,*,17,29,58.62,171,0,2,46.8,5.90,2.79,6,33,5.50,0,0,0,0,,0,0,0
4,9,2013-11-10,30-351,TEN,,JAX,L 27-29,,22,33,66.67,264,2,0,111.2,8.00,9.21,3,13,4.33,1,0,0,0,,0,1,6
5,10,2013-11-14,30-355,TEN,,IND,L 27-30,*,22,28,78.57,222,1,0,111.6,7.93,8.64,4,26,6.50,0,0,0,0,,0,0,0
6,11,2013-11-24,31-000,TEN,@,OAK,W 23-19,*,30,42,71.43,320,2,0,109.2,7.62,8.57,5,26,5.20,0,0,0,0,,0,0,0
7,12,2013-12-01,31-007,TEN,@,IND,L 14-22,*,21,37,56.76,201,1,3,47.2,5.43,2.32,8,54,6.75,1,0,0,0,,0,1,6
8,13,2013-12-08,31-014,TEN,@,DEN,L 28-51,*,13,24,54.17,172,1,1,73.6,7.17,6.13,1,4,4.00,0,0,0,0,,0,0,0
9,14,2013-12-15,31-021,TEN,,ARI,L 34-37,*,36,58,62.07,402,4,2,91.3,6.93,6.76,3,22,7.33,0,0,0,0,,0,0,0
10,15,2013-12-22,31-028,TEN,@,JAX,W 20-16,*,17,26,65.38,181,1,1,82.4,6.96,6.00,3,1,0.33,0,0,0,0,,0,0,0
11,16,2013-12-29,31-035,TEN,,HOU,W 16-10,*,15,24,62.50,166,0,1,65.6,6.92,5.04,2,-2,-1.00,0,0,0,0,,0,0,0
,,11 Games,,,,,4-7-0,,217,350,62.00,2454,14,12,82.0,7.01,6.27,43,225,5.23,3,1,1,0,0.00,0,3,18
