
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2011-09-11,35-351,TEN,@,JAX,L 14-16,*,21,34,61.76,263,2,1,93.1,7.74,7.59,1,9,9.00,0,0.0,0,0
2,2,2011-09-18,35-358,TEN,,BAL,W 26-13,*,30,42,71.43,358,1,1,95.1,8.52,7.93,0,0,,0,0.0,0,0
3,3,2011-09-25,36-000,TEN,,DEN,W 17-14,*,27,36,75.00,311,2,0,119.1,8.64,9.75,2,-2,-1.00,0,0.0,0,0
4,4,2011-10-02,36-007,TEN,@,CLE,W 31-13,*,10,20,50.00,220,3,1,108.3,11.00,11.75,1,5,5.00,0,0.0,0,0
5,5,2011-10-09,36-014,TEN,@,PIT,L 17-38,*,29,49,59.18,262,1,1,72.0,5.35,4.84,1,3,3.00,0,0.0,0,0
6,6,2011-10-23,36-028,TEN,,HOU,L 7-41,*,14,30,46.67,104,1,2,38.8,3.47,1.13,0,0,,0,0.0,0,0
7,7,2011-10-30,36-035,TEN,,IND,W 27-10,*,23,33,69.70,224,1,0,98.5,6.79,7.39,1,-1,-1.00,0,0.0,0,0
8,8,2011-11-06,36-042,TEN,,CIN,L 17-24,*,24,41,58.54,272,2,0,94.8,6.63,7.61,2,3,1.50,0,0.0,0,0
9,9,2011-11-13,36-049,TEN,@,CAR,W 30-3,*,15,27,55.56,219,1,1,79.1,8.11,7.19,1,21,21.00,0,0.0,1,0
10,10,2011-11-20,36-056,TEN,@,ATL,L 17-23,*,13,25,52.00,124,0,1,49.4,4.96,3.16,1,17,17.00,0,0.0,0,0
11,11,2011-11-27,36-063,TEN,,TAM,W 23-17,*,19,34,55.88,160,1,2,53.6,4.71,2.65,2,-2,-1.00,0,0.0,0,0
12,12,2011-12-04,36-070,TEN,@,BUF,W 23-17,*,16,25,64.00,140,0,0,78.7,5.60,5.60,1,-1,-1.00,0,0.0,0,0
13,13,2011-12-11,36-077,TEN,,NOR,L 17-22,*,5,7,71.43,44,0,0,87.8,6.29,6.29,0,0,,0,0.0,0,0
14,14,2011-12-18,36-084,TEN,@,IND,L 13-27,*,27,40,67.50,223,0,2,60.7,5.58,3.33,1,-1,-1.00,0,0.0,0,0
15,15,2011-12-24,36-090,TEN,,JAX,W 23-17,*,24,40,60.00,350,1,2,76.0,8.75,7.00,5,2,0.40,0,0.0,0,0
16,16,2012-01-01,36-098,TEN,@,HOU,W 23-22,*,22,35,62.86,297,2,0,108.9,8.49,9.63,1,-1,-1.00,0,0.0,0,0
,,16 Games,,,,,9-7-0,,319,518,61.58,3571,18,14,82.4,6.89,6.37,20,52,2.60,0,0.0,1,0
