
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-09,36-350,TEN,,NWE,L 13-34,,6,11,54.55,43,0,0,63.8,3.91,3.91,0,0,,0
2,4,2012-09-30,37-005,TEN,@,HOU,L 14-38,,17,25,68.00,193,2,2,84.2,7.72,5.72,2,3,1.50,0
3,5,2012-10-07,37-012,TEN,@,MIN,L 7-30,*,26,43,60.47,200,1,1,69.9,4.65,4.07,2,10,5.00,0
4,6,2012-10-11,37-016,TEN,,PIT,W 26-23,*,25,44,56.82,290,1,1,75.0,6.59,6.02,1,2,2.00,0
5,7,2012-10-21,37-026,TEN,@,BUF,W 35-34,*,22,33,66.67,205,1,0,93.6,6.21,6.82,1,-2,-2.00,0
6,8,2012-10-28,37-033,TEN,,IND,L 13-19,*,22,29,75.86,236,1,0,110.7,8.14,8.83,2,10,5.00,0
7,9,2012-11-04,37-040,TEN,,CHI,L 20-51,*,20,35,57.14,200,1,1,71.1,5.71,5.00,2,18,9.00,0
8,10,2012-11-11,37-047,TEN,@,MIA,W 37-3,,0,1,0.00,0,0,0,39.6,0.00,0.00,3,-3,-1.00,0
,,8 Games,,,,,3-5-0,,138,221,62.44,1367,7,5,81.0,6.19,5.80,13,38,2.92,0
