
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2,2013-09-15,22-118,TEN,@,HOU,L 24-30,,,,,,,
2,3,2013-09-22,22-125,TEN,,SDG,W 20-17,2,1,34,34.00,1,1,6
3,4,2013-09-29,22-132,TEN,,NYJ,W 38-13,1,1,16,16.00,1,1,6
4,5,2013-10-06,22-139,TEN,,KAN,L 17-26,3,0,0,,0,0,0
5,6,2013-10-13,22-146,TEN,@,SEA,L 13-20,1,1,8,8.00,0,0,0
6,7,2013-10-20,22-153,TEN,,SFO,L 17-31,2,0,0,,0,0,0
7,8,2013-11-03,22-167,TEN,@,STL,W 28-21,2,2,13,6.50,0,0,0
8,9,2013-11-10,22-174,TEN,,JAX,L 27-29,7,2,51,25.50,0,0,0
9,10,2013-11-14,22-178,TEN,,IND,L 27-30,1,0,0,,0,0,0
10,11,2013-11-24,22-188,TEN,@,OAK,W 23-19,6,6,109,18.17,1,1,6
11,12,2013-12-01,22-195,TEN,@,IND,L 14-22,5,1,9,9.00,0,0,0
12,13,2013-12-08,22-202,TEN,@,DEN,L 28-51,8,4,114,28.50,1,1,6
13,15,2013-12-22,22-216,TEN,@,JAX,W 20-16,1,0,0,,0,0,0
14,16,2013-12-29,22-223,TEN,,HOU,W 16-10,3,0,0,,0,0,0
,,14 Games,,,,,6-8-0,42,18,354,19.67,4,4,24
