
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,26-352,TEN,,NWE,L 13-34,11,4,0.36,0,7,6,47,7.83,0,0,0
2,2,2012-09-16,26-359,TEN,@,SDG,L 10-38,8,17,2.13,0,3,2,11,5.50,0,0,0
3,3,2012-09-23,27-000,TEN,,DET,W 44-41,14,24,1.71,0,2,1,5,5.00,0,0,0
4,4,2012-09-30,27-007,TEN,@,HOU,L 14-38,25,141,5.64,0,2,2,16,8.00,0,0,0
5,5,2012-10-07,27-014,TEN,@,MIN,L 7-30,15,24,1.60,0,1,1,5,5.00,0,0,0
6,6,2012-10-11,27-018,TEN,,PIT,W 26-23,19,91,4.79,0,4,4,23,5.75,0,0,0
7,7,2012-10-21,27-028,TEN,@,BUF,W 35-34,18,195,10.83,2,2,1,3,3.00,0,2,12
8,8,2012-10-28,27-035,TEN,,IND,L 13-19,21,99,4.71,0,3,2,18,9.00,0,0,0
9,9,2012-11-04,27-042,TEN,,CHI,L 20-51,16,141,8.81,1,6,4,10,2.50,0,1,6
10,10,2012-11-11,27-049,TEN,@,MIA,W 37-3,23,126,5.48,1,2,1,8,8.00,0,1,6
11,11,2012-11-25,27-063,TEN,@,JAX,L 19-24,21,80,3.81,0,3,2,29,14.50,0,0,0
12,12,2012-12-02,27-070,TEN,,HOU,L 10-24,13,51,3.92,0,5,4,20,5.00,0,0,0
13,13,2012-12-09,27-077,TEN,@,IND,L 23-27,19,44,2.32,0,4,3,15,5.00,0,0,0
14,14,2012-12-17,27-085,TEN,,NYJ,W 14-10,21,122,5.81,1,0,0,0,,0,1,6
15,15,2012-12-23,27-091,TEN,@,GNB,L 7-55,11,28,2.55,0,4,2,13,6.50,0,0,0
16,16,2012-12-30,27-098,TEN,,JAX,W 38-20,21,56,2.67,1,1,1,9,9.00,0,1,6
,,16 Games,,,,,6-10-0,276,1243,4.50,6,49,36,232,6.44,0,6,36
