
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,30-026,TEN,@,KAN,W 26-10,4,3,37,12.33,1,1,6,0.0,0,0
2,2,2014-09-14,30-033,TEN,,DAL,L 10-26,14,10,142,14.20,1,1,6,0.0,0,0
3,3,2014-09-21,30-040,TEN,@,CIN,L 7-33,7,4,54,13.50,0,0,0,0.0,0,0
4,4,2014-09-28,30-047,TEN,@,IND,L 17-41,7,5,84,16.80,1,1,6,0.0,0,0
5,5,2014-10-05,30-054,TEN,,CLE,L 28-29,4,4,47,11.75,0,0,0,0.0,0,0
6,6,2014-10-12,30-061,TEN,,JAX,W 16-14,8,3,57,19.00,0,0,0,0.0,0,0
7,7,2014-10-19,30-068,TEN,@,WAS,L 17-19,5,2,17,8.50,0,0,0,0.0,0,0
8,8,2014-10-26,30-075,TEN,,HOU,L 16-30,9,4,37,9.25,1,1,6,0.0,0,0
9,9,2014-11-09,30-089,TEN,@,BAL,L 7-21,5,3,37,12.33,0,0,0,0.0,1,0
10,11,2014-11-23,30-103,TEN,@,PHI,L 24-43,9,5,155,31.00,0,0,0,0.0,0,0
11,12,2014-11-30,30-110,TEN,@,HOU,L 21-45,3,1,6,6.00,0,0,0,0.0,0,0
12,13,2014-12-07,30-117,TEN,,NYG,L 7-36,10,4,27,6.75,0,0,0,0.0,0,0
13,14,2014-12-14,30-124,TEN,,NYJ,L 11-16,5,4,93,23.25,0,0,0,0.0,0,0
14,15,2014-12-18,30-128,TEN,@,JAX,L 13-21,6,4,54,13.50,0,0,0,0.0,0,0
15,16,2014-12-28,30-138,TEN,,IND,L 10-27,10,7,43,6.14,0,0,0,0.0,0,0
,,15 Games,,,,,2-13-0,106,63,890,14.13,4,4,24,0.0,1,0
